LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,domainWrittenSingular,domainWrittenPlural,rangeWrittenSingular,rangeWrittenPlural
end_career_on,verb,end his active career,ends his active career,ended his active career,ended his active career,on,IntransitivePPFrame,domain,range,1,dbo:activeYearsEndDate,dbo:Athlete,xsd:date,athlete,athletes,year,years
end_in,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:Road,dbo:City,road,roads,city,cities
come_from,verb,come,comes,came,come,from,IntransitivePPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country,person,persons,country,countries
flow_into,verb,flow,flows,flowed,flown,into,IntransitivePPFrame,range,domain,1,dbo:inflow,dbo:River,dbo:River,river,rivers,river,rivers
grow_in,verb,grow,grows,grew,grown,in,IntransitivePPFrame,range,domain,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape,wine region,wine regions,type of grape,types of grapes
die_from_1,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,owl:Thing,person,persons,thing,things
born_in_1,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthYear,dbo:Person,xsd:date,person,persons,year,years
born_in_2,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place,person,persons,place,places
born_in_3,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:City,person,persons,city,cities
born_in_4,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Country,person,persons,country,countries
born_in_5,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthPlace,dbo:Actor,dbo:Country,actor,actors,country,countries
born_in_6,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthPlace,dbo:Actor,dbo:Country,actor,actors,country,countries
born_in_7,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthPlace,res:Surfing,dbo:Country,surfer,surfers,country,countries
dissolve_on_1,verb,dissolve,dissolves,dissolved,dissolved,on,IntransitivePPFrame,domain,range,1,dbo:dissolutionDate,dbo:Place,xsd:date,place,places,-,-
written_in,verb,write,writes,wrote,written,in,IntransitivePPFrame,range,domain,1,dbo:programmingLanguage,dbo:Work,dbo:Language,work,works,language,languages
complete_in_1,verb,complete,completes,completed,completed,in,IntransitivePPFrame,domain,range,2,dbo:completionDate,dbo:Ship,xsd:date,work,works,year,years
participate_in_1,verb,participate,participates,participated,participated,in,IntransitivePPFrame,range,domain,1,dbo:battle,dbo:MilitaryPerson,dbo:MilitaryConflict,person,persons,military conflict,military conflicts
die_on_1,verb,die,dies,died,died,on,IntransitivePPFrame,domain,range,1,dbo:deathDate,dbo:Person,xsd:date,person,persons,-,-
die_in_1,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathDate,dbo:Person,xsd:date,person,persons,-,-
die_in_2,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Writer,dbo:Place,writer,writers,place,place
die_in_3,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Politician,dbo:Place,politician,politicians,place,place
die_in_4,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Writer,dbo:City,writer,writers,city,cities
die_in_5,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Politician,dbo:City,politician,politicians,city,cities
die_from_1,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,owl:Thing,person,persons,thing,things
bury_in_1,verb,bury,buries,buried,buried,in,IntransitivePPFrame,domain,range,1,dbo:restingPlace,dbo:Person,dbo:City,person,persons,city,cities
