lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,QALD
time_zone_of,noun,time zone,time zones,of,NounPPFrame,range,domain,1,dbo:timeZone,dbo:Place,dbo:Country,Qald9-test
governor_of,noun,governor,governors,of,NounPPFrame,range,domain,1,dbp:governor,dbo:Place,dbo:Person,Qald9-test
profession_of,noun,profession,professions,of,NounPPFrame,range,domain,1,dbo:occupation,dbo:Person,xsd:string,Qald9-test
seat_of,noun,seat,seats,of,NounPPFrame,range,domain,1,dbo:ground,dbo:SportsClub,dbo:Stadium,Qald9-test
flyer_program_of,noun,flyer program,flyer program of,of,NounPPFrame,range,domain,1,dbp:frequentFlyer,dbo:Company,xsd:string,Qald9-test
goverment_type_of,noun,goverment type,goverment types,of,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Place,dbo:Organisation,Qald9-test
place_of,noun,place,places,of,NounPPFrame,range,domain,1,dbo:location,dbo:Organisation,dbo:Place,Qald9-test
nickname_of,noun,nickname,nicknames,of,NounPPFrame,range,domain,1,foaf:nick,dbo:Person,xsd:string,Qald9-test
birth_name_of,noun,birth name,birth name,of,NounPPFrame,range,domain,1,dbp:birthName,dbo:Person,xsd:string,Qald9-test
mayor_of,noun,mayor,mayors,of,NounPPFrame,range,domain,1,dbp:leader,dbo:Person,dbo:City,Qald9-test
grand-children_of,noun,grand child,grand children,of,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,Qald9-test
homepage_of,noun,homepage,homepages,of,NounPPFrame,range,domain,1,foaf:homepage,dbo:Person,xsd:string,Qald9-test
husband_of,noun,husband_of,husband_of,of,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,Qald9-test
highest_place_of,noun,highest place,-,of,NounPPFrame,range,domain,1,dbp:highest,dbo:Place,xsd:double,Qald9-test
nick_name_of,noun,nick name,nick names,of,NounPPFrame,range,domain,1,foaf:nick,dbo:Person,xsd:string,Qald9-test
highest_population_density_of,noun,highest population density,-,of,NounPPFrame,range,domain,1,dbo:country,dbo:Mountain,dbo:Country,Qald9-test
area_code,noun,area code,area codes,of,NounPPFrame,range,domain,1,dbo:areaCode,dbo:City,xsd:string,Qald9-test
moon_of,noun,moon,moons,of,NounPPFrame,range,domain,1,dbp:satellites,dbo:Place,xsd:integer,Qald9-test
real_name_of,noun,real name,real names,of,NounPPFrame,range,domain,1,foaf:name,dbo:Person,xsd:string,Qald9-test
famous_for,noun,famous,famous,for,NounPPFrame,range,domain,1,dbo:knownFor,dbo:Scientist,dbo:MilitaryUnit,Qald9-test
author_of,noun,author,authors,of,NounPPFrame,range,domain,1,dbo:author,dbo:Book,dbo:Writer,Qald9-test
governor_of,noun,governor,governors,of,NounPPFrame,range,domain,1,dbo:region,dbo:Person,dbo:Place,Qald9-test
wife_ of,noun,wife,wives,of,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,Qald9-test
award_of,noun,award,awards,of,NounPPFrame,range,domain,1,dbp:awards,dbo:Person,xsd:string,Qald9-test
inhabitant_of,noun,inhabitant,inhabitants,of,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Country,xsd:double,Qald9-test
daughter_of,noun,daughter,daughters,of,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,Qald9-test
student_of,noun,student,students,of,NounPPFrame,range,domain,1,dbo:numberOfStudents,dbo:School,xsd:nonNegativeInteger,Qald9-test
revenue_of,noun,revenue,revenues,of,NounPPFrame,range,domain,1,dbo:revenue,dbo:Company,xsd:double,Qald9-test
