LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range,QALD
australian,adjective,australian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Australia,dbo:Film,dbo:Film,Qald9-training
belgian,adjective,belgian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belgium,dbo:Film,dbo:Film,Qald9-training
greek,adjective,greek,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Greece,dbo:Film,dbo:Film,Qald9-training
danish,adjective,danish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Denmark,dbo:Film,dbo:Film,Qald9-training
algerian,adjective,algerian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Algeria,dbo:Film,dbo:Film,Qald9-training
andorran,adjective,andorran,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Andorra,dbo:Film,dbo:Film,Qald9-training
aruban,adjective,aruban,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Aruba,dbo:Film,dbo:Film,Qald9-training
angolan,adjective,angolan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Angola,dbo:Film,dbo:Film,Qald9-training
albanian,adjective,albanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Albania,dbo:Film,dbo:Film,Qald9-training
afghan,adjective,afghan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Afghanistan,dbo:Film,dbo:Film,Qald9-training
azerbaijani,adjective,azerbaijani,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Azerbaijan,dbo:Film,dbo:Film,Qald9-training
brazilian,adjective,brazilian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Brazil,dbo:Film,dbo:Film,Qald9-training
bulgarian,adjective,bulgarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bulgaria,dbo:Film,dbo:Film,Qald9-training
bahamian,adjective,bahamian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:The_Bahamas,dbo:Film,dbo:Film,Qald9-training
barbadian,adjective,barbadian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Barbados,dbo:Film,dbo:Film,Qald9-training
bengali,adjective,bengali,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bangladesh,dbo:Film,dbo:Film,Qald9-training
belarusian,adjective,belarusian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belarus,dbo:Film,dbo:Film,Qald9-training
belizean,adjective,belizean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belize,dbo:Film,dbo:Film,Qald9-training
benin,adjective,benin,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Benin,dbo:Film,dbo:Film,Qald9-training
botswana,adjective,botswana,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Botswana,dbo:Film,dbo:Film,Qald9-training
bermudian,adjective,bermudian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bermuda,dbo:Film,dbo:Film,Qald9-training
bolivian,adjective,bolivian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bolivia,dbo:Film,dbo:Film,Qald9-training
colombian,adjective,colombian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Colombia,dbo:Film,dbo:Film,Qald9-training
czech,adjective,czech,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Czech_Republic,dbo:Film,dbo:Film,Qald9-training
female,adjective,female,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:gender,res:Female,dbo:Economist,dbo:Person,Qald9-training
methodist,adjective,methodist,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:religion,res:Methodism,dbo:Economist,dbo:Person,Qald9-training
swiss,adjective,swiss,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Switzerland,dbo:Economist,dbo:Person,Qald9-training
german_1,adjective,german,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality ,res:Germany,dbo:Economist,dbo:Person,Qald9-training
german_2,adjective,german,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Germany,dbo:Economist,dbo:Person,Qald9-training
American_1,adjective,american,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:America,dbo:Economist,dbo:Person,Qald9-test
American_2,adjective,american,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality ,res:America,dbo:Economist,dbo:Person,Qald9-test
Dutch,adjective,dutch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality ,res:America,dbo:Economist,dbo:Person,Qald9-test
Argentine,adjective,Argentine,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality ,res:Argentina ,dbo:Economist,dbo:Person,Qald9-test
Argentine,adjective,Argentine,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality ,res:Argentina ,dbo:Economist,dbo:Person,Qald9-test
English_1,adjective,English,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality ,res:United_Kingdom,dbo:Economist,dbo:Person,Qald9-test
English_2,adjective,English,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:United_Kingdom,dbo:Economist,dbo:Person,Qald9-test
extinct,adjective,extinct ,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:conservationStatus,"""EX""",dbo:Economist,dbo:Person,Qald9-test
critically endangered animals,adjective,critically endangered animals,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dct:subject,dbc:Critically_endangered_animals,dbo:Economist,dbo:Person,Qald9-test
critically endangered,adjective,critically endangered,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:conservationStatus,"""CR""",dbo:Animal,xsd:string,Qald9-test
vegan,adjective,vegan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,yago:WikicatAmericanVegans,dbo:Economist,dbo:Person,Qald9-test
british,adjective,british,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,yago:WikicatAmericanVegans,dbo:Economist,dbo:Person,Qald9-test
gold,adjective,gold,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbp:mineral,res:Gold,dbo:Economist,dbo:Person,Qald9-test
australian_1,adjective,australian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Australia,dbo:Film,dbo:Film,other
australian_2,adjective,australian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,2,owl:Restriction,dbo:nationality,res:Australia,dbo:Actor,dbo:Actor,other
belgian,adjective,belgian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belgium,dbo:Film,dbo:Film,other
greek,adjective,greek,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Greece,dbo:Film,dbo:Film,other
danish,adjective,danish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Denmark,dbo:Film,dbo:Film,other
algerian,adjective,algerian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Algeria,dbo:Film,dbo:Film,other
andorran,adjective,andorran,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Andorra,dbo:Film,dbo:Film,other
aruban,adjective,aruban,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Aruba,dbo:Film,dbo:Film,other
angolan,adjective,angolan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Angola,dbo:Film,dbo:Film,other
albanian,adjective,albanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Albania,dbo:Film,dbo:Film,other
afghan,adjective,afghan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Afghanistan,dbo:Film,dbo:Film,other
azerbaijani,adjective,azerbaijani,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Azerbaijan,dbo:Film,dbo:Film,other
brazilian,adjective,brazilian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Brazil,dbo:Film,dbo:Film,other
bulgarian,adjective,bulgarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bulgaria,dbo:Film,dbo:Film,other
bahamian,adjective,bahamian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:The_Bahamas,dbo:Film,dbo:Film,other
barbadian,adjective,barbadian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Barbados,dbo:Film,dbo:Film,other
bengali,adjective,bengali,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bangladesh,dbo:Film,dbo:Film,other
belarusian,adjective,belarusian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belarus,dbo:Film,dbo:Film,other
belizean,adjective,belizean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belize,dbo:Film,dbo:Film,other
benin,adjective,benin,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Benin,dbo:Film,dbo:Film,other
botswana,adjective,botswana,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Botswana,dbo:Film,dbo:Film,other
bermudian,adjective,bermudian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bermuda,dbo:Film,dbo:Film,other
bolivian,adjective,bolivian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bolivia,dbo:Film,dbo:Film,other
colombian,adjective,colombian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Colombia,dbo:Film,dbo:Film,other
czech,adjective,czech,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Czech_Republic,dbo:Film,dbo:Film,other
female,adjective,female,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:gender,res:Female,dbo:Economist,dbo:Person,other
methodist,adjective,methodist,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:religion,res:Methodism,dbo:Economist,dbo:Person,other
British_1,adjective,British,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:United_Kingdom,dbo:Film,dbo:Film,other
British_2,adjective,British,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:United_Kingdom,dbo:Film,dbo:Film,other
American_3,adjective,American,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:United_States,dbo:Film,dbo:Film,other
American_4,adjective,American,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:United_States,dbo:Film,dbo:Film,other
Afghan_5,adjective,Afghan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Afghanistan,dbo:Film,dbo:Film,other
Afghan_6,adjective,Afghan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Afghanistan,dbo:Film,dbo:Film,other
Albanian_7,adjective,Albanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Albania,dbo:Film,dbo:Film,other
Albanian_8,adjective,Albanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Albania,dbo:Film,dbo:Film,other
Algerian_9,adjective,Algerian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Algeria,dbo:Film,dbo:Film,other
Algerian_10,adjective,Algerian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Algeria,dbo:Film,dbo:Film,other
Argentine_11,adjective,Argentine,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Argentina,dbo:Film,dbo:Film,other
Argentine_12,adjective,Argentine,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Argentina,dbo:Film,dbo:Film,other
Australian_15,adjective,Australian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Australia,dbo:Film,dbo:Film,other
Australian_16,adjective,Australian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Australia,dbo:Film,dbo:Film,other
Austrian_17,adjective,Austrian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Austria,dbo:Film,dbo:Film,other
Austrian_18,adjective,Austrian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Austria,dbo:Film,dbo:Film,other
Bangladeshi_19,adjective,Bangladeshi,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bangladesh,dbo:Film,dbo:Film,other
Bangladeshi_20,adjective,Bangladeshi,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Bangladesh,dbo:Film,dbo:Film,other
Belgian_21,adjective,Belgian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belgium,dbo:Film,dbo:Film,other
Belgian_22,adjective,Belgian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Belgium,dbo:Film,dbo:Film,other
Bolivian_23,adjective,Bolivian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bolivia,dbo:Film,dbo:Film,other
Bolivian_24,adjective,Bolivian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Bolivia,dbo:Film,dbo:Film,other
Batswana_25,adjective,Batswana,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Botswana,dbo:Film,dbo:Film,other
Batswana_26,adjective,Batswana,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Botswana,dbo:Film,dbo:Film,other
Brazilian_27,adjective,Brazilian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Brazil,dbo:Film,dbo:Film,other
Brazilian_28,adjective,Brazilian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Brazil,dbo:Film,dbo:Film,other
Bulgarian_29,adjective,Bulgarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bulgaria,dbo:Film,dbo:Film,other
Bulgarian_30,adjective,Bulgarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Bulgaria,dbo:Film,dbo:Film,other
Cambodian_31,adjective,Cambodian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Cambodia,dbo:Film,dbo:Film,other
