LemonEntry,partOfSpeech,writtenForm,comparative,superlative_singular,superlative_plural,SyntacticFrame,predFrame,sense,reference,oils:boundTo,oils:degree,domain,range,preposition
deutsch,adjective,deutsch,deutscheren,deutschestes,deutschesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/starring,oils:high,dbo:Person,dbo:Person,in
britisch,adjective,britisch,britischeren,britischstes,britischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/starring,oils:high,dbo:Person,dbo:Person,in
österreichisch,adjective,österreichisch,österreichischeren,österreichischstes,österreichischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/starring,oils:high,dbo:Person,dbo:Person,in
deutsch,adjective,deutsch,deutscheren,deutschestes,deutschesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/director,oils:high,dbo:Person,dbo:Person,in
deutsch,adjective,deutsch,deutscheren,deutschestes,deutschesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/writer,oils:high,dbo:Person,dbo:Person,in
bekannt,adjective,bekannt,bekannteren,bekanntestes,bekanntesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/starring,oils:high,dbo:Person,dbo:Person,in
verschieden,adjective,verschieden,verschiedneren,verschiedenstes,verschiedensten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/starring,oils:high,dbo:Person,dbo:Person,in
spanisch,adjective,spanisch,spanischeren,spanischstes,spanischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/starring,oils:high,dbo:Person,dbo:Person,in
zahlreich,adjective,zahlreich,zahlreicheren,zahlreichstes,zahlreichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/starring,oils:high,dbo:Person,dbo:Person,in
gut,adjective,gut,besseren,bestes,besten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/starring,oils:high,dbo:Person,dbo:Person,in
häufig,adjective,häufig,häufigeren,häufigstes,häufigsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/starring,oils:high,dbo:Person,dbo:Person,in
spät,adjective,spät,späteren,spätestes,spätesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/starring,oils:high,dbo:Person,dbo:Person,in
groß,adjective,groß,grösseren,grössestes,grössesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/starring,oils:high,dbo:Person,dbo:Person,in
erfolgreich,adjective,erfolgreich,erfolgreicheren,erfolgreichstes,erfolgreichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/starring,oils:high,dbo:Person,dbo:Person,in
