domain,range
dbo:Country,dbo:Mountain
dbo:Country,dbo:Lighthouse
dbo:Country,dbo:ArchitecturalStructure
dbo:Country,dbo:Building
dbo:Country,dbo:Bridge
owl:Thing,dbo:BasketballPlayer
owl:Thing,dbo:Model
owl:Thing,dbo:Country
owl:Thing,dbo:Country
owl:Thing,dbo:Country
owl:Thing,dbo:Country
owl:Thing,dbo:DartsPlayer
owl:Thing,dbo:Politician
dbo:Person,dbo:Person
dbo:Country,dbo:Stadium
dbo:Country,dbo:BodyOfWater
dbo:Country,dbo:BodyOfWater
dbo:SportsTeam,dbo:VolleyballPlayer
dbo:Country,dbo:Lake
dbo:Country,dbo:BasketballPlayer
dbo:Album,xsd:date
owl:Thing,dbo:DartsPlayer
owl:Thing,dbo:DartsPlayer
dbo:Country,dbo:Mountain
dbo:Country,dbo:Lake
owl:Thing,dbo:DartsPlayer
owl:Thing,dbo:DartsPlayer
