domain,range
dbo:Model,xsd:double
dbo:FictionalCharacter,dbo:Person
dbo:PopulatedPlace,xsd:nonNegativeInteger
dbo:Person,xsd:String
dbo:Person,xsd:gYear
dbo:Food,owl:Thing
dbo:AdministrativeRegion,xsd:date
dbo:TelevisionShow,xsd:nonNegativeInteger
dbo:Company,xsd:nonNegativeInteger
dbo:Person,xsd:date
dbo:Genre,xsd:string
dbo:Ship,xsd:date
dbo:WrittenWork,xsd:positiveInteger
dbo:City,xsd:string
dbo:City,xsd:string
dbo:City,xsd:string
dbo:Politician,xsd:string
dbo:Person,xsd:string
dbo:Mountain,xsd:double
dbo:Company,xsd:gYear
dbo:Person,xsd:string
dbo:Artist,owl:Thing
dbo:Person,dbo:Musical
dbo:Person,dbo:Person
dbo:TelevisionShow,dbo:Person
dbo:Country,dbo:Country
dbo:City,dbo:Person
dbo:City,dbo:Person
dbo:IceHockeyLeague,dbo:Person
dbo:Person,dbo:Country
dbo:Place,dbo:Place
dbo:Mountain,dbo:Country
dbo:Country,dbo:Language
dbo:Country,dbo:City
dbo:Work,dbo:Language
dbo:Work,dbo:Person
dbo:Country,dbo:City
dbo:Person,dbo:Person
dbo:Person,dbo:Country
dbo:ComicsCharacter,dbo:Person/xsd:string
dbo:Country,dbo:Country
dbo:Grape,dbo:Place
dbo:Loyalty,dbo:Color
dbo:Legislature,dbo:Organisation/dbo:Royalty
dbo:Politician,dbo:Politician
dbo:TelevisionShow,dbo:Person
dbo:Country,dbo:Currency
dbo:Work,dbo:Agent
dbo:Politician,dbo:Place
dbo:Royalty,dbo:Person
dbo:Film,dbo:Company
dbo:Company,dbo:City
dbo:Person,dbo:Person
dbo:Scientist,dbo:Person
dbo:Place,dbo:Person
dbo:Person,dbo:Person
dbo:Organisation,dbo:PopulatedPlace
dbo:Publisher,dbo:Agent
dbo:Organisation,dbo:Pope
dbo:Autobiography,dbo:Author
dbo:Person,dbo:Person
dbo:Work,dbo:Person
dbo:TelevisionShow,dbo:Person
dbo:AdministrativeRegion,dbo:City
dbo:BroadcastNetwork,dbo:Company
dbo:Company,dbo:Location
dbo:Person,dbo:City
dbo:Person,dbo:Country
dbo:TelevisionShow,dbo:Person
dbo:City/dbo:Town,xsd:string
dbo:Town,owl:Thing
dbo:Band,dbo:MusicalArtist
dbo:Book,dbo:TelevisionShow
dbo:Book,dbo:Writer
dbo:Legislature/dbo:Place,dbo:Person
dbo:Politician,dbo:Person
dbo:VideoGame,dbo:Company/dbo:Publisher
dbo:Building,dbo:City
dbo:Person,dbo:Person
dbo:HockeyTeam,dbo:Person
dbo:HockeyTeam,dbo:IceHockeyLeague
dbo:SportsClub,dbo:Stadium
dbo:ArchitecturalStructure,xsd:string
dbo:Song,dbo:Album
dbo:Band,dbo:Place
dbo:Person,dbo:Country
dbo:Company,xsd:date
dbo:MeanOfTransportation,xsd:date
dbo:Device,xsd:double
dbo:Person,dbo:Place
dbo:Book,xsd:string
dbo:TelevisionSeason,xsd:date
dbo:Mountain,dbo:Place
dbo:Place,xsd:string
dbo:Person,dbo:Person
dbo:Organisation,xsd:date
dbo:Planet,xsd:double
dbo:TelevisionShow,xsd:nonNegativeInteger
dbo:School,xsd:nonNegativeInteger
dbo:ArchitecturalStructure,xsd:date
dbo:Place,xsd:nonNegativeInteger
dbo:Software,xsd:date
dbo:Person,xsd:string
dbo:Work,dbo:Agent
dbo:Company,dbo:Person
dbo:Person,dbo:SpaceMission
dbo:Country,dbo:Person
dbo:Event,dbo:TelevisionShow
dbo:Company,xsd:string
dbo:Company,xsd:string
dbo:Building,dbo:City
dbo:Agent,xsd:string
dbo:Place,dbo:Person
dbo:ArchitecturalStructure,dbo:Person
dbo:Work,dbo:Person
dbo:Organisation,dbo:Person
dbo:Place,dbo:Person
dbo:Organisation,dbo:Settlement
dbo:Agent,dbo:City
dbo:Company,xsd:nonNegativeInteger
dbo:Company,dbo:Actor
