domain,range
dbo:Company,dbo:Software
dbo:VideoGame,dbo:Agent
dbo:Software,dbo:Person
dbo:Work,dbo:Person
dbo:Work,dbo:Person
dbo:Artwork,dbo: Museum
dbo:Planet,dbo:Person
dbo:Bridge,dbo:River
dbo:Scientist,dbo:Award
dbo:TelevisionShow,dbo:Agent
dbo:Website,dbo:Person
dbo:Work,dbo:Person
dbo:Film,dbo:Person
dbo:Work,dbo:Actor
dbo:FictionalCharacter,dbo:Person
dbo:Work,dbo:Actor
dbo:Film,dbo:Person
dbo:Book,dbo:Publisher
dbo:Publisher,dbo:Agent
dbo:VideoGame,dbo:Company
dbo:Work,dbo:Agent
dbo:Film,dbo:Person
dbo:Airline,dbo:Airport
dbo:ArchitecturalStructure,dbo:Architect
dbo:Building,dbo:Person
dbo:Film,xsd:double
dbo:Song,dbo:Person
dbo:Work,dbo:Person
dbo:TelevisionShow,dbo:Person
dbo:Book,dbo:Person
dbo:Album,dbo:Person
dbo:Work,dbo:Person
dbo:Colour,owl:Thing
dbo:Person,xsd:String
dbo:Organisation,dbo:Pope
dbo:Organisation,dbo:Person
dbo:Person,dbo:Person
dbo:Person,dbo:Person
dbo:Company,dbo:Ship
dbo:Film,dbo:Person
dbo:TelevisionShow,dbo:Person
dbo:Beverage,dbo:Organisation
dbo:Film,dbo:Person
dbo:Work,dbo:Person
dbo:Organisation,dbo:LaunchPad
dbo:Airport,dbo:Organisation
dbo:TelevisionShow,dbo:Person
dbo:MusicalWork,dbo:Agent
dbo:Person,dbo:Person
dbo:TelevisionShow,dbo:Organisation
dbo:Film,dbo:Broadcaster
dbo:Album,dbo:Album
dbo:Work,dbo:Work
dbo:Politician,dbo:Politician
dbo:Politician,dbo:Politician
dbo:Airport,dbo:Agent
dbo:Airport,dbo:Organisation
dbo:WrittenWork,dbo:Person
dbo:Ideology,dbo:Agent
dbo:Language,dbo:PopulatedPlace
dbo:BodyOfWater,dbo:River
dbo:Band,dbo:Person
dbo:Software,dbo:Person
owl:Thing,dbo:AcademicJournal
dbo:AcademicJournal,dbo:Agent
dbo:SportsTeam,dbo:Athlete
dbo:Place,dbo:Person
dbo:BodyOfWater,dbo:River
dbo:ArchitecturalStructure,dbo:Agent
dbo:ArchitecturalStructure,dbo:Organisation
dbo:Animal,dbo:Person
dbo:Athlete,dbo:Person
dbo:Album,dbo:Album
dbo:Work,dbo:Work
dbo:Politician,dbo:Politician
dbo:Politician,dbo:Politician
dbo:Country,dbo:Currency
dbo:State,dbo:State
dbo:MusicalWork,dbo:Person
dbo:Person,dbo:Person
dbo:Place,dbo:Mineral
dbo:Volcano,xsd:gYear
dbo:Person,dbo:MilitaryConflict
dbo:Agent,dbo:Work
dbo:Ship,dbo:Person
dbo:Person,dbo:Company
dbo:Country,xsd:date
dbo:Person,dbo:Agent
dbo:Place,dbo:Currency
dbo:Person,dbo:Agent
dbo:VideoGame,xsd:string
dbo:Mountain,dbo:Person
dbo:Person,dbo:Person
dbo:Event,dbo:Person
dbo:Country,dbo:Currency
dbo:Work,dbo:Agent
dbo:Person,dbo:Person
dbo:Settlement,xsd:date
dbo:Book,dbo:Writer
dbo:Country,xsd:date
dbo:Scientist,dbo:Award
dbo:Work,dbo:Person
dbo:Person,dbo:EducationalInstitution
dbo:Company,xsd:gYear
dbo:Company,xsd:gYear
dbo:Person,xsd:date
dbo:Person,xsd:date
dbo:Book,dbo:Writer
dbo:Book,dbo:Writer
dbo:Company,xsd:string
dbo:Person,dbo:Person
dbo:Mountain,dbo:Country
dbo:River,dbo:Country
dbo:Person,dbo:Person
dbo:Airline,dbo:Airport
dbo:Person,xsd:String
dbo:Organisation,xsd:date
dbo:Film,dbo:Person
dbo:Person,dbo:MusicalArtist
dbo:Person,xsd:string
owl:Thing,xsd:date
