LemonEntry,partOfSpeech,writtenForm,comparative,superlative,SyntacticFrame,predFrame,sense,reference,oils:boundTo,oils:degree,domain,range,preposition,QALD,SPARQL Question 1,Question 3,SPARQL Question 3,Question 4,sparql 4,Question 5,sparql 5
high_1,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:elevation,oils:high,dbo:Country,dbo:Mountain,in,Qald9-training,,,,,,,
high_2,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,2,oils:CovariantScalar,dbo:height,oils:high,dbo:Country,dbo:Lighthouse,in,Qald9-training,,,,,,,
high_3,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,3,oils:CovariantScalar,dbo:height,oils:high,dbo:Country,dbo:ArchitecturalStructure,in,Qald9-training,,,,,,,
high_4,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,4,oils:CovariantScalar,dbo:height,oils:high,dbo:Country,dbo:Building,in,Qald9-training,,,,,,,
high_5,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,5,oils:CovariantScalar,dbo:height,oils:high,dbo:Country,dbo:Bridge,in,Qald9-training,,,,,,,
tall_1,adjective,tall,taller,tallest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:high,owl:Thing,dbo:BasketballPlayer,in,Qald9-training,,,,,,,
tall_2,adjective,tall,taller,tallest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:high,owl:Thing,dbo:Model,in,Qald9-training,,,,,,,
large_1,adjective,large,larger,largest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:areaTotal,oils:high,owl:Thing,dbo:Country,in,Qald9-training,,,,,,,
populated_1,adjective,populated,more populated,most populated,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:populationTotal,oils:high,owl:Thing,dbo:Country,in,Qald9-training,,,,,,,
small_1,adjective,small,smaller,smallest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:areaTotal,oils:low,owl:Thing,dbo:Country,in,Qald9-training,,,,,,,
populated_2,adjective,populated,less populated,least populated,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:populationTotal,oils:low,owl:Thing,dbo:Country,in,Qald9-training,,,,,,,
Young_1,adjective,young,younger,youngest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:birthDate,oils:high,owl:Thing,dbo:DartsPlayer,in,Qald9-training,,,,,,,
Young_2,adjective,young,younger,youngest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:birthDate,oils:high,owl:Thing,dbo:Politician,in,Qald9-training,,,,,,,
old,adjective,old,older,oldest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:birthYear,oils:low,dbo:Person,dbo:Person,of,Qald9-training,,,,,,,
big_1,adjective,big,bigger,biggest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:seatingCapacity,oils:high,dbo:Country,dbo:Stadium,in,Qald9-training,,,,,,,
long,adjective,long,longer,longest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:length,oils:high,dbo:Country,dbo:BodyOfWater,in,Qald9-training,,,,,,,
short,adjective,short,shorter,shortest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:length,oils:low,dbo:Country,dbo:BodyOfWater,in,Qald9-training,,,,,,,
tall_4,adjective,tall,taller,tallest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:strong,dbo:SportsTeam,dbo:VolleyballPlayer,of,Qald9-training,,,,,,,
deep,adjective,deep,deeper,deepest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:maximumDepth,oils:strong,dbo:Country,dbo:Lake,in,Qald9-training,,,,,,,
High_6,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,5,oils:CovariantScalar,dbo:height,oils:high,dbo:Country,dbo:BasketballPlayer,in,Qald9-training,,,,,,,
first,adjective,first,-,-,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:releaseDate,oils:high,dbo:Album,xsd:date,of,Qald9-training,,,,,,,
young_1,adjective,young,younger,youngest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:birthDate,oils:low,owl:Thing,dbo:DartsPlayer,in,Qald9-training,,,,,,,
large_2,adjective,large,larger,largerest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:areaTotal,oils:high,owl:Thing,dbo:DartsPlayer,in,Qald9-training,,,,,,,
high_5,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:elevation,oils:high,dbo:Country,dbo:Mountain,in,Qald9-training,,,,,,,
deep_2,adjective,deep,deeper,deepest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:maximumDepth,oils:strong,dbo:Country,dbo:Lake,in,Qald9-training,,,,,,,
young_1,adjective,young,younger,youngest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:birthDate,oils:low,owl:Thing,dbo:DartsPlayer,in,Qald9-training,,,,,,,
large_2,adjective,large,larger,largerest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:areaTotal,oils:high,owl:Thing,dbo:DartsPlayer,in,Qald9-training,,,,,,,
