LemonEntry,partOfSpeech,writtenForm,comparative,superlative,SyntacticFrame,predFrame,sense,reference,oils:boundTo,oils:degree,domain,range,preposition
high_1,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:elevation,oils:high,dbo:Country,dbo:Mountain,in
high_1,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,2,oils:CovariantScalar,dbo:height,oils:high,dbo:Country,dbo:Lighthouse,in
high_3,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,3,oils:CovariantScalar,dbo:height,oils:high,dbo:Country,dbo:ArchitecturalStructure,in
high_4,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,4,oils:CovariantScalar,dbo:height,oils:high,dbo:Country,dbo:Building,in
high_5,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,5,oils:CovariantScalar,dbo:height,oils:high,dbo:Country,dbo:Bridge,in
tall_1,adjective,tall,taller,tallest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:high,owl:Thing,dbo:BasketballPlayer,in
tall_2,adjective,tall,taller,tallest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:high,owl:Thing,dbo:Model,in
tall_3,adjective,tall,taller,tallest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:elevation,oils:strong,dbo:Country,dbo:Mountain,in
large_1,adjective,large,larger,largest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:areaTotal,oils:high,owl:Thing,dbo:Country,in
large_2,adjective,large,larger,largest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:populationTotal,oils:high,owl:Thing,dbo:Country,in
small_1,adjective,small,smaller,smallest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:areaTotal,oils:low,owl:Thing,dbo:Country,in
small_2,adjective,small,smaller,smallest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:populationTotal,oils:low,owl:Thing,dbo:Country,in
Young_1,adjective,young,younger,youngest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:birthDate,oils:high,owl:Thing,dbo:DartsPlayer,in
Young_2,adjective,young,younger,youngest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:birthDate,oils:high,owl:Thing,dbo:Politician,in
old,adjective,old,older,oldest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:birthDate,oils:low,dbo:Person,dbo:Person,of
big_1,adjective,big,bigger,biggest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:seatingCapacity,oils:high,dbo:Country,dbo:Stadium,in
long,adjective,long,longer,longest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:length,oils:high,dbo:Country,dbo:BodyOfWater,in
short,adjective,short,shorter,shortest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:ContravariantScalar,dbo:length,oils:low,dbo:Country,dbo:BodyOfWater,in
High_6,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,5,oils:CovariantScalar,dbo:height,oils:high,dbo:Country,dbo:BasketballPlayer,in
High_7,adjective,high,higher,highest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:elevation,oils:high,owl:Thing,dbo:Mountain,in
deep,adjective,deep,deeper,deepest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:elevation,oils:high,owl:Thing,dbo:Lake,in
tall_4,adjective,tall,taller,tallest,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:strong,dbo:Country,dbo:VolleyballPlayer,of
