LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range
end_career_on,verb,end his active career,ends his active career,ended his active career,ended his active career,on,IntransitivePPFrame,range,domain,1,dbo:activeYearsEndDate,dbo:Athlete,xsd:date
end_in_1,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:Road,dbo:City
end_in_5,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,1,dbo:mouthPlace,dbo:River,dbo:PopulatedPlace
end_in_6,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,2,dbo:mouthCountry,dbo:River,dbo:Country
come_from,verb,come,comes,came,come,from,IntransitivePPFrame,domain,range,1,dbo:nationality,dbo:Person,dbo:Country
flow_into,verb,flow,flows,flowed,flown,into,IntransitivePPFrame,domain,range,1,dbo:inflow,dbo:River,dbo:River
grow_in,verb,grow,grows,grew,grown,in,IntransitivePPFrame,range,domain,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape
die_from_1,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,owl:Thing
begin_at_1,verb,begin,begins,began,begun,at,IntransitivePPFrame,domain,range,1,dbp:source1Location,dbo:River,dbo:Country
born_in_1,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthYear,dbo:Person,xsd:gYear
born_in_2,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Place
born_on_1,verb,born,-,born,born,on,IntransitivePPFrame,range,domain,1,dbo:birthDate,dbo:Person,xsd:date
dissolve_on_1,verb,dissolve,dissolves,dissolved,dissolved,on,IntransitivePPFrame,range,domain,1,dbo:dissolutionDate,dbo:Place,xsd:date
written_in,verb,write,writes,wrote,written,in,IntransitivePPFrame,domain,range,1,dbo:programmingLanguage,dbo:Work,dbo:Language
complete_in_1,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,2,dbo:completionDate,dbo:Ship,xsd:date
complete_in_2,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,1,dbo:buildingEndDate,dbo:ArchitecturalStructure,xsd:gYear
participate_in_1,verb,participate,participates,participated,participated,in,IntransitivePPFrame,range,domain,1,dbo:battle,dbo:MilitaryPerson,dbo:MilitaryConflict
die_on_1,verb,die,dies,died,died,on,IntransitivePPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date
die_in_1,verb,die,dies,died,died,in,IntransitivePPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date
die_in_2,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Writer,dbo:Place
die_from_1,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,owl:Thing
die_from_2,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbp:deathCause,dbo:Person,dbo:Disease
bury_in_1,verb,bury,buries,buried,buried,in,IntransitivePPFrame,domain,range,1,dbo:restingPlace,dbo:Person,dbo:City
bury_in_2,verb,bury,buries,buried,buried,in,IntransitivePPFrame,domain,range,1,dbp:burialPlace,dbo:Person,dbo:City
locate_in_1,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:City,dbo:Country
locate_in_2,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbp:location,dbo:MilitaryUnit,dbo:Location
locate_in_5,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:locatedInArea,dbo:Mountain,dbo:Country
found_in_1,verb,found,found,founded,founded,in,IntransitivePPFrame,range,domain,1,dbo:foundingYear,dbo:Organisation,xsd:gYear
found_in_2,verb,found,found,founded,founded,in,IntransitivePPFrame,domain,range,1,dbo:foundationPlace,dbo:Company,dbo:Country
found_in_4,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,2,dbo:foundingDate,dbo:Settlement,xsd:gYear
found_in_5,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,4,dbo:formationDate,dbo:PoliticalParty,xsd:gYear
found_in_6,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,1,dbp:founded,dbo:Organisation,xsd:date
found_in_7,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,1,dbo:govermentType,dbo:Organisation,xsd:string
commence_on_1,verb,commence,commences,commenced,commenced,on,IntransitivePPFrame,range,domain,1,dbp:date,dbo:MilitaryConflict,xsd:date
commence_on_2,verb,commence,commences,commenced,commenced,on,IntransitivePPFrame,range,domain,1,dbo:date,dbo:Event,xsd:date
call_1,verb,call,calls,called,called,X,IntransitivePPFrame,domain,range,1,dbp:nickname,dbo:Person,xsd:String
KnownFor_1,verb,known,known,known,known,for,IntransitivePPFrame,domain,range,1,dbo:knownFor,dbo:Scientist,dbo:MilitaryUnit
KnownFor_2,verb,known,known,known,known,for,IntransitivePPFrame,domain,range,1,dbo:knownFor,dbo:Award,dbo:Person
locate_in_1,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:City,dbo:Country
locate_in_2,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbp:location,dbo:MilitaryUnit,dbo:Location
locate_in_4,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,2,dbo:location,dbo:City,dbo:Country 
locate_in_8,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,6,dbo:locatedInArea,dbo:Place,dbo:Place
locate_in_12,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,3,dbo:city,dbo:Airport,dbo:City
live_in_1,verb,live,lives,lived,lived,in,IntransitivePPFrame,domain,range,1,dbo:residence,dbo:Person,dbo:City
live_in_3,verb,People live,People lives,People lived,People lived,in,IntransitivePPFrame,range,domain,1,dbo:populationTotal,dbo:Country,xsd:double
live_in_5,verb,live,lives,lived,lived,in,IntransitivePPFrame,range,domain,1,dbo:ethnicGroup,dbo:Country,xsd:nonNegativeInteger
grow_in_2,verb,grow,grows,grew,grown,in,IntransitivePPFrame,range,domain,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape
flow_through_1,verb,flow,flows,flowed,flown,through,IntransitivePPFrame,domain,range,1,dbo:city,dbo:River,dbo:City
flow_through_2,verb,flow,flows,flowed,flown,through,IntransitivePPFrame,domain,range,1,dbp:country,dbo:River,dbo:Country
start_in_1,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbo:routeStart,dbo:Road,dbo:Road
start_in_2,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbp:mouthLocation,dbo:River,dbo:Country
flow_into_1,verb,flow,flows,flowed,flown,into,IntransitivePPFrame,range,domain,1,dbo:inflow,dbo:River,dbo:River
