lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
academic journal_of,noun,academic journal,academic journals,of,NounPPFrame,range,domain,1,rdf:type,dbo:AcademicJournal,dbo:AcademicJournal
actor_of,noun,actor,actors,of,NounPPFrame,range,domain,1,rdf:type,dbo:Actor,dbo:Actor
administrative region_of,noun,administrative region,administrative regions,of,NounPPFrame,range,domain,1,rdf:type,dbo:AdministrativeRegion,dbo:AdministrativeRegion
adultactor_of,noun,Adult Actor,Adult Actors,of,NounPPFrame,range,domain,1,rdf:type,dbo:AdultActor,dbo:AdultActor
agent_of,noun,agent,agents,of,NounPPFrame,range,domain,1,rdf:type,dbo:Agent,dbo:Agent
aircraft_of,noun,Aircraft,Aircrafts,of,NounPPFrame,range,domain,1,rdf:type,dbo:Aircraft,dbo:Aircraft
airline_of,noun,airline,airlines,of,NounPPFrame,range,domain,1,rdf:type,dbo:Airline,dbo:Airline
airport_of,noun,airport,airports,of,NounPPFrame,range,domain,1,rdf:type,dbo:Airport,dbo:Airport
album_of,noun,album,albums,of,NounPPFrame,range,domain,1,rdf:type,dbo:Album,dbo:Album
amateurboxer_of,noun,Amateur Boxer,Amateur Boxers,of,NounPPFrame,range,domain,1,rdf:type,dbo:AmateurBoxer,dbo:AmateurBoxer
ambassador_of,noun,Ambassador,Ambassadors,of,NounPPFrame,range,domain,1,rdf:type,dbo:Ambassador,dbo:Ambassador
americanfootballleague_of,noun,American Football League,American Football Leagues,of,NounPPFrame,range,domain,1,rdf:type,dbo:AmericanFootballLeague,dbo:AmericanFootballLeague
american football player_of,noun,american football player,american football players,of,NounPPFrame,range,domain,1,rdf:type,dbo:AmericanFootballPlayer,dbo:AmericanFootballPlayer
amphibian_of,noun,Amphibian,Amphibians,of,NounPPFrame,range,domain,1,rdf:type,dbo:Amphibian,dbo:Amphibian
amusementparkattraction_of,noun,Amusement Park Attraction,Amusement Park Attractions,of,NounPPFrame,range,domain,1,rdf:type,dbo:AmusementParkAttraction,dbo:AmusementParkAttraction
anatomicalstructure_of,noun,Anatomical Structure,Anatomical Structures,of,NounPPFrame,range,domain,1,rdf:type,dbo:AnatomicalStructure,dbo:AnatomicalStructure
animal_of,noun,animal,animals,of,NounPPFrame,range,domain,1,rdf:type,dbo:Animal,dbo:Animal
anime_of,noun,Anime,Animes,of,NounPPFrame,range,domain,1,rdf:type,dbo:Anime,dbo:Anime
arachnid_of,noun,Arachnid,Arachnids,of,NounPPFrame,range,domain,1,rdf:type,dbo:Arachnid,dbo:Arachnid
archaea_of,noun,Archaea,Archaeas,of,NounPPFrame,range,domain,1,rdf:type,dbo:Archaea,dbo:Archaea
archbishop_of,noun,Archbishop,Archbishops,of,NounPPFrame,range,domain,1,rdf:type,dbo:Archbishop,dbo:Archbishop
architect_of,noun,architect,architects,of,NounPPFrame,range,domain,1,rdf:type,dbo:Architect,dbo:Architect
architecturalstructure_of,noun,Architectural Structure,Architectural Structures,of,NounPPFrame,range,domain,1,rdf:type,dbo:ArchitecturalStructure,dbo:ArchitecturalStructure
artery_of,noun,Artery,Arterys,of,NounPPFrame,range,domain,1,rdf:type,dbo:Artery,dbo:Artery
article_of,noun,article,articles,of,NounPPFrame,range,domain,1,rdf:type,dbo:Article,dbo:Article
artist_of,noun,artist,artists,of,NounPPFrame,range,domain,1,rdf:type,dbo:Artist,dbo:Artist
artistdiscography_of,noun,Artist Discography,Artist Discographys,of,NounPPFrame,range,domain,1,rdf:type,dbo:ArtistDiscography,dbo:ArtistDiscography
artwork_of,noun,artwork,artworks,of,NounPPFrame,range,domain,1,rdf:type,dbo:Artwork,dbo:Artwork
astronaut_of,noun,Astronaut,Astronauts,of,NounPPFrame,range,domain,1,rdf:type,dbo:Astronaut,dbo:Astronaut
athlete_of,noun,athlete,athlete,of,NounPPFrame,range,domain,1,rdf:type,dbo:Athlete,dbo:Athlete
australianfootballteam_of,noun,Australian Football Team,Australian Football Teams,of,NounPPFrame,range,domain,1,rdf:type,dbo:AustralianFootballTeam,dbo:AustralianFootballTeam
australianrulesfootballplayer_of,noun,Australian Rules Football Player,Australian Rules Football Player,of,NounPPFrame,range,domain,1,rdf:type,dbo:AustralianRulesFootballPlayer,dbo:AustralianRulesFootballPlayer
author_of,noun,author,authors,of,NounPPFrame,range,domain,1,rdf:type,dbo:Author,dbo:Author
autobiography_of,noun,autobiography,autobiography,of,NounPPFrame,range,domain,1,rdf:type,dbo:Autobiography,dbo:Autobiography
automobile_of,noun,Automobile,Automobiles,of,NounPPFrame,range,domain,1,rdf:type,dbo:Automobile,dbo:Automobile
automobileengine_of,noun,Automobile Engine,Automobile Engines,of,NounPPFrame,range,domain,1,rdf:type,dbo:AutomobileEngine,dbo:AutomobileEngine
award_of,noun,award,awards,of,NounPPFrame,range,domain,1,rdf:type,dbo:Award,dbo:Award
bacteria_of,noun,Bacteria,Bacterias,of,NounPPFrame,range,domain,1,rdf:type,dbo:Bacteria,dbo:Bacteria
badmintonplayer_of,noun,Badminton Player,Badminton Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:BadmintonPlayer,dbo:BadmintonPlayer
band_of,noun,band,bands,of,NounPPFrame,range,domain,1,rdf:type,dbo:Band,dbo:Band
bank_of,noun,Bank,Banks,of,NounPPFrame,range,domain,1,rdf:type,dbo:Bank,dbo:Bank
baronet_of,noun,Baronet,Baronets,of,NounPPFrame,range,domain,1,rdf:type,dbo:Baronet,dbo:Baronet
baseballleague_of,noun,Baseball League,Baseball Leagues,of,NounPPFrame,range,domain,1,rdf:type,dbo:BaseballLeague,dbo:BaseballLeague
baseballplayer_of,noun,Baseball Player,Baseball Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:BaseballPlayer,dbo:BaseballPlayer
baseballseason_of,noun,Baseball Season,Baseball Seasons,of,NounPPFrame,range,domain,1,rdf:type,dbo:BaseballSeason,dbo:BaseballSeason
basketballleague_of,noun,Basketball League,Basketball Leagues,of,NounPPFrame,range,domain,1,rdf:type,dbo:BasketballLeague,dbo:BasketballLeague
basketball player_of,noun,basketball player,basketball players,of,NounPPFrame,range,domain,1,rdf:type,dbo:BasketballPlayer,dbo:BasketballPlayer
basketballteam_of,noun,Basketball Team,Basketball Teams,of,NounPPFrame,range,domain,1,rdf:type,dbo:BasketballTeam,dbo:BasketballTeam
beachvolleyballplayer_of,noun,Beach Volleyball Player,Beach Volleyball Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:BeachVolleyballPlayer,dbo:BeachVolleyballPlayer
beautyqueen_of,noun,Beauty Queen,Beauty Queens,of,NounPPFrame,range,domain,1,rdf:type,dbo:BeautyQueen,dbo:BeautyQueen
beverage_of,noun,beverage,beverages,of,NounPPFrame,range,domain,1,rdf:type,dbo:Beverage,dbo:Beverage
biologicaldatabase_of,noun,Biological Database,Biological Databases,of,NounPPFrame,range,domain,1,rdf:type,dbo:BiologicalDatabase,dbo:BiologicalDatabase
bird_of,noun,Bird,Birds,of,NounPPFrame,range,domain,1,rdf:type,dbo:Bird,dbo:Bird
river_of,noun,river,rivers,of,NounPPFrame,range,domain,1,rdf:type,dbo:BodyOfWater,dbo:BodyOfWater
bodybuilder_of,noun,Bodybuilder,Bodybuilders,of,NounPPFrame,range,domain,1,rdf:type,dbo:Bodybuilder,dbo:Bodybuilder
bone_of,noun,Bone,Bones,of,NounPPFrame,range,domain,1,rdf:type,dbo:Bone,dbo:Bone
book_of,noun,book,books,of,NounPPFrame,range,domain,1,rdf:type,dbo:Book,dbo:Book
boxer_of,noun,Boxer,Boxers,of,NounPPFrame,range,domain,1,rdf:type,dbo:Boxer,dbo:Boxer
brain_of,noun,Brain,Brains,of,NounPPFrame,range,domain,1,rdf:type,dbo:Brain,dbo:Brain
brewery_of,noun,Brewery,Brewerys,of,NounPPFrame,range,domain,1,rdf:type,dbo:Brewery,dbo:Brewery
bridge_of,noun,Bridge,Bridges,of,NounPPFrame,range,domain,1,rdf:type,dbo:Bridge,dbo:Bridge
