lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,GrammarRule1:question1,SPARQL,GrammarRule1: question2,SPARQL Question 2,GrammarRule 1: questions,SPARQL ,NP (Grammar Rule 2),type,number of rules
"address-of,noun,address,addresses,of,NounPPFrame,range,domain,1,dbo:address,dbo:ArchitecturalStructure,xsd:string,""What (xsd:string, X) is the address/addresses of (dbo:ArchitecturalStructure,Y?) "",SELECT ?X WHERE { Y dbo:address ?X.},FALSE,FALSE,""List the (xsd:string, X) addresses of (dbo:ArchitecturalStructure,Y?) "",SELECT ?X WHERE { Y dbo:address ?X.},""the address of (dbo:ArchitecturalStructure,Y) "",Qald-1,2"
"album-of,noun,album,albums,of,NounPPFrame,range,domain,1,dbo:album,dbo:Song,dbo:Album,""What (dbo:Album, X) is the album/albums of (dbo:Song,Y?) "",SELECT ?X WHERE { Y dbo:album ?X.},FALSE,FALSE,""List the (dbo:Album, X) albums of (dbo:Song,Y?) "",SELECT ?X WHERE { Y dbo:album ?X.},""the album of (dbo:Song,Y) "",Qald-1,2"
"associatedMusicalArtist-of,noun,associated Musical Artist,associated Musical Artists,of,NounPPFrame,range,domain,1,dbo:associatedMusicalArtist,dbo:Band,dbo:Place,""What (dbo:Place, X) is the associated Musical Artist/associated Musical Artists of (dbo:Band,Y?) "",SELECT ?X WHERE { Y dbo:associatedMusicalArtist ?X.},FALSE,FALSE,""List the (dbo:Place, X) associated Musical Artists of (dbo:Band,Y?) "",SELECT ?X WHERE { Y dbo:associatedMusicalArtist ?X.},""the associated Musical Artist of (dbo:Band,Y) "",Qald-1,2"
"citizenship-of,noun,nationality,-,of,NounPPFrame,range,domain,1,dbo:citizenship,dbo:Person,dbo:Country,""What (dbo:Country, X) is the nationality/- of (dbo:Person,Y?) "",SELECT ?X WHERE { Y dbo:citizenship ?X.},FALSE,FALSE,""List the (dbo:Country, X) - of (dbo:Person,Y?) "",SELECT ?X WHERE { Y dbo:citizenship ?X.},""the nationality of (dbo:Person,Y) "",Qald-1,2"
"closingDate-of,noun,closing Date,closing Dates,of,NounPPFrame,range,domain,1,dbo:closingDate,dbo:Company,xsd:date,""What (xsd:date, X) is the closing Date/closing Dates of (dbo:Company,Y?) "",SELECT ?X WHERE { Y dbo:closingDate ?X.},FALSE,FALSE,""List the (xsd:date, X) closing Dates of (dbo:Company,Y?) "",SELECT ?X WHERE { Y dbo:closingDate ?X.},""the closing Date of (dbo:Company,Y) "",Qald-1,2"
"deliveryDate-of,noun,delivery Date,delivery Dates,of,NounPPFrame,range,domain,1,dbo:deliveryDate,dbo:MeanOfTransportation,xsd:date,""What (xsd:date, X) is the delivery Date/delivery Dates of (dbo:MeanOfTransportation,Y?) "",SELECT ?X WHERE { Y dbo:deliveryDate ?X.},FALSE,FALSE,""List the (xsd:date, X) delivery Dates of (dbo:MeanOfTransportation,Y?) "",SELECT ?X WHERE { Y dbo:deliveryDate ?X.},""the delivery Date of (dbo:MeanOfTransportation,Y) "",Qald-1,2"
"diameter-of,noun,diameter,diameters,of,NounPPFrame,range,domain,1,dbo:diameter,dbo:Device,xsd:double,""What (xsd:double, X) is the diameter/diameters of (dbo:Device,Y?) "",SELECT ?X WHERE { Y dbo:diameter ?X.},FALSE,FALSE,""List the (xsd:double, X) diameters of (dbo:Device,Y?) "",SELECT ?X WHERE { Y dbo:diameter ?X.},""the diameter of (dbo:Device,Y) "",Qald-1,2"
"employer-of,noun,employer,employers,of,NounPPFrame,range,domain,1,dbo:employer,dbo:Person,dbo:Place,""What (dbo:Place, X) is the employer/employers of (dbo:Person,Y?) "",SELECT ?X WHERE { Y dbo:employer ?X.},FALSE,FALSE,""List the (dbo:Place, X) employers of (dbo:Person,Y?) "",SELECT ?X WHERE { Y dbo:employer ?X.},""the employer of (dbo:Person,Y) "",Qald-1,2"
"isbn-of,noun,isbn,isbns,of,NounPPFrame,range,domain,1,dbo:isbn,dbo:Book,xsd:string,""What (xsd:string, X) is the isbn/isbns of (dbo:Book,Y?) "",SELECT ?X WHERE { Y dbo:isbn ?X.},FALSE,FALSE,""List the (xsd:string, X) isbns of (dbo:Book,Y?) "",SELECT ?X WHERE { Y dbo:isbn ?X.},""the isbn of (dbo:Book,Y) "",Qald-1,2"
"firstAirDate-of,noun,first Air Date,first Air Dates,of,NounPPFrame,range,domain,1,dbo:firstAirDate,dbo:TelevisionSeason,xsd:date,""What (xsd:date, X) is the first Air Date/first Air Dates of (dbo:TelevisionSeason,Y?) "",SELECT ?X WHERE { Y dbo:firstAirDate ?X.},FALSE,FALSE,""List the (xsd:date, X) first Air Dates of (dbo:TelevisionSeason,Y?) "",SELECT ?X WHERE { Y dbo:firstAirDate ?X.},""the first Air Date of (dbo:TelevisionSeason,Y) "",Qald-1,2"
"firstAscentPerson-of,noun,first Ascent Person,first Ascent Persons,of,NounPPFrame,range,domain,1,dbo:firstAscentPerson,dbo:Mountain,dbo:Place,""What (dbo:Place, X) is the first Ascent Person/first Ascent Persons of (dbo:Mountain,Y?) "",SELECT ?X WHERE { Y dbo:firstAscentPerson ?X.},FALSE,FALSE,""List the (dbo:Place, X) first Ascent Persons of (dbo:Mountain,Y?) "",SELECT ?X WHERE { Y dbo:firstAscentPerson ?X.},""the first Ascent Person of (dbo:Mountain,Y) "",Qald-1,2"
"flag-of,noun,flag,flags,of,NounPPFrame,range,domain,1,dbo:flag,dbo:Place,xsd:string,""What (xsd:string, X) is the flag/flags of (dbo:Place,Y?) "",SELECT ?X WHERE { Y dbo:flag ?X.},FALSE,FALSE,""List the (xsd:string, X) flags of (dbo:Place,Y?) "",SELECT ?X WHERE { Y dbo:flag ?X.},""the flag of (dbo:Place,Y) "",Qald-1,2"
"governor-of,noun,governor,governors,of,NounPPFrame,range,domain,1,dbo:governor,dbo:Person,dbo:Person,""What (dbo:Person, X) is the governor/governors of (dbo:Person,Y?) "",SELECT ?X WHERE { Y dbo:governor ?X.},""Who (dbo:Person, X) is the governor of (dbo:Person,Y?) (X dbo:governor Y)"",SELECT ?X WHERE { Y dbo:governor ?X.},""List the (dbo:Person, X) governors of (dbo:Person,Y?) "",SELECT ?X WHERE { Y dbo:governor ?X.},""the governor of (dbo:Person,Y) "",Qald-1,2"
"lastElectionDate-of,noun,last Election Date,last Election Dates,of,NounPPFrame,range,domain,1,dbo:lastElectionDate,dbo:Organisation,xsd:date,""What (xsd:date, X) is the last Election Date/last Election Dates of (dbo:Organisation,Y?) "",SELECT ?X WHERE { Y dbo:lastElectionDate ?X.},FALSE,FALSE,""List the (xsd:date, X) last Election Dates of (dbo:Organisation,Y?) "",SELECT ?X WHERE { Y dbo:lastElectionDate ?X.},""the last Election Date of (dbo:Organisation,Y) "",Qald-1,2"
