"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-4405","noun","city","city",,"""NounPPFrame""","range","domain","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.511495754602855""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4406","noun","city","city",,"""NounPPFrame""","domain","range","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.511495754602855""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4407","noun","theater","theater",,"""NounPPFrame""","range","domain","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.503219608282713""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4408","noun","theater","theater",,"""NounPPFrame""","domain","range","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.503219608282713""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4409","noun","church","church",,"""NounPPFrame""","range","domain","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.497851652177841""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4410","noun","church","church",,"""NounPPFrame""","domain","range","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.497851652177841""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4411","noun","theatre","theatre",,"""NounPPFrame""","range","domain","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.489666755552464""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4412","noun","theatre","theatre",,"""NounPPFrame""","domain","range","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.489666755552464""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4415","noun","west","west",,"""NounPPFrame""","range","domain","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.479950893913834""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4416","noun","west","west",,"""NounPPFrame""","domain","range","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.479950893913834""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4419","noun","hotel","hotel",,"""NounPPFrame""","range","domain","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.459491227597397""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4420","noun","hotel","hotel",,"""NounPPFrame""","domain","range","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.459491227597397""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4425","noun","parish","parish",,"""NounPPFrame""","range","domain","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.427205454125524""","dbo:architect","""""""1-gram"""""""
"lexicalEntry-4426","noun","parish","parish",,"""NounPPFrame""","domain","range","1","dbo:architect","dbo:ArchitecturalStructure","dbo:Architect","""0.427205454125524""","dbo:architect","""""""1-gram"""""""
