"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-3278","noun","census-designated place","census-designated place",,"""NounPPFrame""","range","domain","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.929784064936937""","dbo:areaTotal","""""""2-gram"""""""
"lexicalEntry-3279","noun","census-designated place","census-designated place",,"""NounPPFrame""","domain","range","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.929784064936937""","dbo:areaTotal","""""""2-gram"""""""
"lexicalEntry-3284","noun","population","population",,"""NounPPFrame""","range","domain","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.892805661543492""","dbo:areaTotal","""""""2-gram"""""""
"lexicalEntry-3285","noun","population","population",,"""NounPPFrame""","domain","range","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.892805661543492""","dbo:areaTotal","""""""2-gram"""""""
"lexicalEntry-3286","noun","census-designated place cdp","census-designated place cdp",,"""NounPPFrame""","range","domain","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.883680522359268""","dbo:areaTotal","""""""3-gram"""""""
"lexicalEntry-3287","noun","census-designated place cdp","census-designated place cdp",,"""NounPPFrame""","domain","range","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.883680522359268""","dbo:areaTotal","""""""3-gram"""""""
"lexicalEntry-3290","noun","place","place",,"""NounPPFrame""","range","domain","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.862791921187409""","dbo:areaTotal","""""""1-gram"""""""
"lexicalEntry-3291","noun","place","place",,"""NounPPFrame""","domain","range","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.862791921187409""","dbo:areaTotal","""""""1-gram"""""""
"lexicalEntry-3292","noun","census","census",,"""NounPPFrame""","range","domain","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.86235238880354""","dbo:areaTotal","""""""1-gram"""""""
"lexicalEntry-3293","noun","census","census",,"""NounPPFrame""","domain","range","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.86235238880354""","dbo:areaTotal","""""""1-gram"""""""
"lexicalEntry-3294","noun","city","city",,"""NounPPFrame""","range","domain","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.860125236572637""","dbo:areaTotal","""""""1-gram"""""""
"lexicalEntry-3295","noun","city","city",,"""NounPPFrame""","domain","range","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.860125236572637""","dbo:areaTotal","""""""1-gram"""""""
"lexicalEntry-3298","noun","2000 census","2000 census",,"""NounPPFrame""","range","domain","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.846532256117865""","dbo:areaTotal","""""""2-gram"""""""
"lexicalEntry-3299","noun","2000 census","2000 census",,"""NounPPFrame""","domain","range","1","dbo:areaTotal","dbo:Country","dbo:Country","""0.846532256117865""","dbo:areaTotal","""""""2-gram"""""""
