"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-3414","noun","basketball","basketball",,"""NounPPFrame""","range","domain","1","dbo:award","dbo:Scientist","dbo:Award","""0.800308349580433""","dbo:award","""""""1-gram"""""""
"lexicalEntry-3415","noun","basketball","basketball",,"""NounPPFrame""","domain","range","1","dbo:award","dbo:Scientist","dbo:Award","""0.800308349580433""","dbo:award","""""""1-gram"""""""
"lexicalEntry-3416","noun","player","player",,"""NounPPFrame""","range","domain","1","dbo:award","dbo:Scientist","dbo:Award","""0.789070408552733""","dbo:award","""""""1-gram"""""""
"lexicalEntry-3417","noun","player","player",,"""NounPPFrame""","domain","range","1","dbo:award","dbo:Scientist","dbo:Award","""0.789070408552733""","dbo:award","""""""1-gram"""""""
"lexicalEntry-3418","noun","basketball player","basketball player",,"""NounPPFrame""","range","domain","1","dbo:award","dbo:Scientist","dbo:Award","""0.768131797647585""","dbo:award","""""""2-gram"""""""
"lexicalEntry-3419","noun","basketball player","basketball player",,"""NounPPFrame""","domain","range","1","dbo:award","dbo:Scientist","dbo:Award","""0.768131797647585""","dbo:award","""""""2-gram"""""""
"lexicalEntry-3424","noun","professional basketball","professional basketball",,"""NounPPFrame""","range","domain","1","dbo:award","dbo:Scientist","dbo:Award","""0.718430364265591""","dbo:award","""""""2-gram"""""""
"lexicalEntry-3425","noun","professional basketball","professional basketball",,"""NounPPFrame""","domain","range","1","dbo:award","dbo:Scientist","dbo:Award","""0.718430364265591""","dbo:award","""""""2-gram"""""""
"lexicalEntry-3426","noun","professional basketball player","professional basketball player",,"""NounPPFrame""","range","domain","1","dbo:award","dbo:Scientist","dbo:Award","""0.698469282664312""","dbo:award","""""""3-gram"""""""
"lexicalEntry-3427","noun","professional basketball player","professional basketball player",,"""NounPPFrame""","domain","range","1","dbo:award","dbo:Scientist","dbo:Award","""0.698469282664312""","dbo:award","""""""3-gram"""""""
"lexicalEntry-3428","noun","american","american",,"""NounPPFrame""","range","domain","1","dbo:award","dbo:Scientist","dbo:Award","""0.641641805343787""","dbo:award","""""""1-gram"""""""
"lexicalEntry-3429","noun","american","american",,"""NounPPFrame""","domain","range","1","dbo:award","dbo:Scientist","dbo:Award","""0.641641805343787""","dbo:award","""""""1-gram"""""""
"lexicalEntry-3432","noun","cosmonaut","cosmonaut",,"""NounPPFrame""","range","domain","1","dbo:award","dbo:Scientist","dbo:Award","""0.611168858440426""","dbo:award","""""""1-gram"""""""
"lexicalEntry-3433","noun","cosmonaut","cosmonaut",,"""NounPPFrame""","domain","range","1","dbo:award","dbo:Scientist","dbo:Award","""0.611168858440426""","dbo:award","""""""1-gram"""""""
