"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-49","noun","state","state",,"""NounPPFrame""","range","domain","1","dbo:capital","dbo:Country","dbo:City","""0.493463526691155""","dbo:capital","""""""1-gram"""""""
"lexicalEntry-50","noun","state","state",,"""NounPPFrame""","domain","range","1","dbo:capital","dbo:Country","dbo:City","""0.493463526691155""","dbo:capital","""""""1-gram"""""""
"lexicalEntry-51","noun","empire","empire",,"""NounPPFrame""","range","domain","1","dbo:capital","dbo:Country","dbo:City","""0.444329816812052""","dbo:capital","""""""1-gram"""""""
"lexicalEntry-52","noun","empire","empire",,"""NounPPFrame""","domain","range","1","dbo:capital","dbo:Country","dbo:City","""0.444329816812052""","dbo:capital","""""""1-gram"""""""
"lexicalEntry-55","noun","republic","republic",,"""NounPPFrame""","range","domain","1","dbo:capital","dbo:Country","dbo:City","""0.421615861380365""","dbo:capital","""""""1-gram"""""""
"lexicalEntry-56","noun","republic","republic",,"""NounPPFrame""","domain","range","1","dbo:capital","dbo:Country","dbo:City","""0.421615861380365""","dbo:capital","""""""1-gram"""""""
"lexicalEntry-59","noun","kingdom","kingdom",,"""NounPPFrame""","range","domain","1","dbo:capital","dbo:Country","dbo:City","""0.408997320900457""","dbo:capital","""""""1-gram"""""""
"lexicalEntry-60","noun","kingdom","kingdom",,"""NounPPFrame""","domain","range","1","dbo:capital","dbo:Country","dbo:City","""0.408997320900457""","dbo:capital","""""""1-gram"""""""
"lexicalEntry-63","noun","capital","capital",,"""NounPPFrame""","range","domain","1","dbo:capital","dbo:Country","dbo:City","""0.404978095429362""","dbo:capital","""""""1-gram"""""""
"lexicalEntry-64","noun","capital","capital",,"""NounPPFrame""","domain","range","1","dbo:capital","dbo:Country","dbo:City","""0.404978095429362""","dbo:capital","""""""1-gram"""""""
"lexicalEntry-67","noun","dynasty","dynasty",,"""NounPPFrame""","range","domain","1","dbo:capital","dbo:Country","dbo:City","""0.377321671389335""","dbo:capital","""""""1-gram"""""""
"lexicalEntry-68","noun","dynasty","dynasty",,"""NounPPFrame""","domain","range","1","dbo:capital","dbo:Country","dbo:City","""0.377321671389335""","dbo:capital","""""""1-gram"""""""
