"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-3711","noun","game","game",,"""NounPPFrame""","range","domain","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.430507042633877""","dbo:composer","""""""1-gram"""""""
"lexicalEntry-3712","noun","game","game",,"""NounPPFrame""","domain","range","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.430507042633877""","dbo:composer","""""""1-gram"""""""
"lexicalEntry-3715","noun","series","series",,"""NounPPFrame""","range","domain","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.378885956335187""","dbo:composer","""""""1-gram"""""""
"lexicalEntry-3716","noun","series","series",,"""NounPPFrame""","domain","range","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.378885956335187""","dbo:composer","""""""1-gram"""""""
"lexicalEntry-3717","noun","television","television",,"""NounPPFrame""","range","domain","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.377648673972412""","dbo:composer","""""""1-gram"""""""
"lexicalEntry-3718","noun","television","television",,"""NounPPFrame""","domain","range","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.377648673972412""","dbo:composer","""""""1-gram"""""""
"lexicalEntry-3719","noun","american","american",,"""NounPPFrame""","range","domain","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.368965779823674""","dbo:composer","""""""1-gram"""""""
"lexicalEntry-3720","noun","american","american",,"""NounPPFrame""","domain","range","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.368965779823674""","dbo:composer","""""""1-gram"""""""
"lexicalEntry-3723","noun","video","video",,"""NounPPFrame""","range","domain","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.363255787000295""","dbo:composer","""""""1-gram"""""""
"lexicalEntry-3724","noun","video","video",,"""NounPPFrame""","domain","range","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.363255787000295""","dbo:composer","""""""1-gram"""""""
"lexicalEntry-3727","noun","video game","video game",,"""NounPPFrame""","range","domain","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.359738289015815""","dbo:composer","""""""2-gram"""""""
"lexicalEntry-3728","noun","video game","video game",,"""NounPPFrame""","domain","range","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.359738289015815""","dbo:composer","""""""2-gram"""""""
"lexicalEntry-3731","noun","game developed","game developed",,"""NounPPFrame""","range","domain","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.341402402805328""","dbo:composer","""""""2-gram"""""""
"lexicalEntry-3732","noun","game developed","game developed",,"""NounPPFrame""","domain","range","1","dbo:composer","dbo:TelevisionShow","dbo:Person","""0.341402402805328""","dbo:composer","""""""2-gram"""""""
