"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-302","noun","republic","republic",,"""NounPPFrame""","range","domain","1","dbo:currency","dbo:Country","dbo:Currency","""0.441626965244267""","dbo:currency","""""""1-gram"""""""
"lexicalEntry-303","noun","republic","republic",,"""NounPPFrame""","domain","range","1","dbo:currency","dbo:Country","dbo:Currency","""0.441626965244267""","dbo:currency","""""""1-gram"""""""
"lexicalEntry-304","noun","country","country",,"""NounPPFrame""","range","domain","1","dbo:currency","dbo:Country","dbo:Currency","""0.39547247126668""","dbo:currency","""""""1-gram"""""""
"lexicalEntry-305","noun","country","country",,"""NounPPFrame""","domain","range","1","dbo:currency","dbo:Country","dbo:Currency","""0.39547247126668""","dbo:currency","""""""1-gram"""""""
"lexicalEntry-308","noun","republic of","republic of",,"""NounPPFrame""","range","domain","1","dbo:currency","dbo:Country","dbo:Currency","""0.374465430947049""","dbo:currency","""""""2-gram"""""""
"lexicalEntry-309","noun","republic of","republic of",,"""NounPPFrame""","domain","range","1","dbo:currency","dbo:Country","dbo:Currency","""0.374465430947049""","dbo:currency","""""""2-gram"""""""
"lexicalEntry-312","noun","state","state",,"""NounPPFrame""","range","domain","1","dbo:currency","dbo:Country","dbo:Currency","""0.322170977643431""","dbo:currency","""""""1-gram"""""""
"lexicalEntry-313","noun","state","state",,"""NounPPFrame""","domain","range","1","dbo:currency","dbo:Country","dbo:Currency","""0.322170977643431""","dbo:currency","""""""1-gram"""""""
"lexicalEntry-314","noun","country in","country in",,"""NounPPFrame""","range","domain","1","dbo:currency","dbo:Country","dbo:Currency","""0.308853881942125""","dbo:currency","""""""2-gram"""""""
"lexicalEntry-315","noun","country in","country in",,"""NounPPFrame""","domain","range","1","dbo:currency","dbo:Country","dbo:Currency","""0.308853881942125""","dbo:currency","""""""2-gram"""""""
