"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-348","noun","martial","martial",,"""NounPPFrame""","range","domain","1","dbo:date","dbo:Event","xsd:date","""0.925979523733963""","dbo:date","""""""1-gram"""""""
"lexicalEntry-349","noun","martial","martial",,"""NounPPFrame""","domain","range","1","dbo:date","dbo:Event","xsd:date","""0.925979523733963""","dbo:date","""""""1-gram"""""""
"lexicalEntry-350","noun","arts","arts",,"""NounPPFrame""","range","domain","1","dbo:date","dbo:Event","xsd:date","""0.923823625246495""","dbo:date","""""""1-gram"""""""
"lexicalEntry-351","noun","arts","arts",,"""NounPPFrame""","domain","range","1","dbo:date","dbo:Event","xsd:date","""0.923823625246495""","dbo:date","""""""1-gram"""""""
"lexicalEntry-354","noun","mixed martial","mixed martial",,"""NounPPFrame""","range","domain","1","dbo:date","dbo:Event","xsd:date","""0.915693802707514""","dbo:date","""""""2-gram"""""""
"lexicalEntry-355","noun","mixed martial","mixed martial",,"""NounPPFrame""","domain","range","1","dbo:date","dbo:Event","xsd:date","""0.915693802707514""","dbo:date","""""""2-gram"""""""
"lexicalEntry-356","noun","mixed martial arts","mixed martial arts",,"""NounPPFrame""","range","domain","1","dbo:date","dbo:Event","xsd:date","""0.914604366622661""","dbo:date","""""""3-gram"""""""
"lexicalEntry-357","noun","mixed martial arts","mixed martial arts",,"""NounPPFrame""","domain","range","1","dbo:date","dbo:Event","xsd:date","""0.914604366622661""","dbo:date","""""""3-gram"""""""
"lexicalEntry-362","noun","event","event",,"""NounPPFrame""","range","domain","1","dbo:date","dbo:Event","xsd:date","""0.90615198007363""","dbo:date","""""""1-gram"""""""
"lexicalEntry-363","noun","event","event",,"""NounPPFrame""","domain","range","1","dbo:date","dbo:Event","xsd:date","""0.90615198007363""","dbo:date","""""""1-gram"""""""
