"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-463","noun","pope","pope",,"""NounPPFrame""","range","domain","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.922063750509075""","dbo:deathPlace","""""""1-gram"""""""
"lexicalEntry-464","noun","pope","pope",,"""NounPPFrame""","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.922063750509075""","dbo:deathPlace","""""""1-gram"""""""
"lexicalEntry-465","noun","death","death",,"""NounPPFrame""","range","domain","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.808142969050262""","dbo:deathPlace","""""""1-gram"""""""
"lexicalEntry-466","noun","death","death",,"""NounPPFrame""","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.808142969050262""","dbo:deathPlace","""""""1-gram"""""""
"lexicalEntry-469","noun","canadian curler","canadian curler",,"""NounPPFrame""","range","domain","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.803745571959463""","dbo:deathPlace","""""""4-gram"""""""
"lexicalEntry-470","noun","canadian curler","canadian curler",,"""NounPPFrame""","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.803745571959463""","dbo:deathPlace","""""""4-gram"""""""
"lexicalEntry-473","noun","states","states",,"""NounPPFrame""","range","domain","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.750063256441727""","dbo:deathPlace","""""""1-gram"""""""
"lexicalEntry-474","noun","states","states",,"""NounPPFrame""","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.750063256441727""","dbo:deathPlace","""""""1-gram"""""""
"lexicalEntry-475","noun","to death","to death",,"""NounPPFrame""","range","domain","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.747805954425253""","dbo:deathPlace","""""""3-gram"""""""
"lexicalEntry-476","noun","to death","to death",,"""NounPPFrame""","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.747805954425253""","dbo:deathPlace","""""""3-gram"""""""
"lexicalEntry-477","noun","united","united",,"""NounPPFrame""","range","domain","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.747044880992345""","dbo:deathPlace","""""""1-gram"""""""
"lexicalEntry-478","noun","united","united",,"""NounPPFrame""","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.747044880992345""","dbo:deathPlace","""""""1-gram"""""""
"lexicalEntry-479","noun","united states","united states",,"""NounPPFrame""","range","domain","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.746598009932637""","dbo:deathPlace","""""""2-gram"""""""
"lexicalEntry-480","noun","united states","united states",,"""NounPPFrame""","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.746598009932637""","dbo:deathPlace","""""""2-gram"""""""
"lexicalEntry-481","noun","american","american",,"""NounPPFrame""","range","domain","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.739932527318878""","dbo:deathPlace","""""""3-gram"""""""
"lexicalEntry-482","noun","american","american",,"""NounPPFrame""","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.739932527318878""","dbo:deathPlace","""""""3-gram"""""""
"lexicalEntry-483","noun","catholic","catholic",,"""NounPPFrame""","range","domain","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.739588483629355""","dbo:deathPlace","""""""1-gram"""""""
"lexicalEntry-484","noun","catholic","catholic",,"""NounPPFrame""","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","""0.739588483629355""","dbo:deathPlace","""""""1-gram"""""""
