"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-616","noun","film","film",,"""NounPPFrame""","range","domain","1","dbo:director","dbo:Film","dbo:Person","""0.898040923828919""","dbo:director","""""""1-gram"""""""
"lexicalEntry-617","noun","film","film",,"""NounPPFrame""","domain","range","1","dbo:director","dbo:Film","dbo:Person","""0.898040923828919""","dbo:director","""""""1-gram"""""""
"lexicalEntry-622","noun","cartoon","cartoon",,"""NounPPFrame""","range","domain","1","dbo:director","dbo:Film","dbo:Person","""0.81115412499275""","dbo:director","""""""1-gram"""""""
"lexicalEntry-623","noun","cartoon","cartoon",,"""NounPPFrame""","domain","range","1","dbo:director","dbo:Film","dbo:Person","""0.81115412499275""","dbo:director","""""""1-gram"""""""
"lexicalEntry-628","noun","film directed","film directed",,"""NounPPFrame""","range","domain","1","dbo:director","dbo:Film","dbo:Person","""0.722918273585586""","dbo:director","""""""2-gram"""""""
"lexicalEntry-629","noun","film directed","film directed",,"""NounPPFrame""","domain","range","1","dbo:director","dbo:Film","dbo:Person","""0.722918273585586""","dbo:director","""""""2-gram"""""""
"lexicalEntry-630","noun","film directed by","film directed by",,"""NounPPFrame""","range","domain","1","dbo:director","dbo:Film","dbo:Person","""0.711967280863419""","dbo:director","""""""3-gram"""""""
"lexicalEntry-631","noun","film directed by","film directed by",,"""NounPPFrame""","domain","range","1","dbo:director","dbo:Film","dbo:Person","""0.711967280863419""","dbo:director","""""""3-gram"""""""
"lexicalEntry-634","noun","in adelaide","in adelaide",,"""NounPPFrame""","range","domain","1","dbo:director","dbo:Film","dbo:Person","""0.707106781186548""","dbo:director","""""""2-gram"""""""
"lexicalEntry-635","noun","in adelaide","in adelaide",,"""NounPPFrame""","domain","range","1","dbo:director","dbo:Film","dbo:Person","""0.707106781186548""","dbo:director","""""""2-gram"""""""
