"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-683","noun","town located","town located",,"""NounPPFrame""","range","domain","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.686406472983644""","dbo:dissolutionDate","""""""4-gram"""""""
"lexicalEntry-684","noun","town located","town located",,"""NounPPFrame""","domain","range","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.686406472983644""","dbo:dissolutionDate","""""""4-gram"""""""
"lexicalEntry-685","noun","total area","total area",,"""NounPPFrame""","range","domain","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.635488909302243""","dbo:dissolutionDate","""""""3-gram"""""""
"lexicalEntry-686","noun","total area","total area",,"""NounPPFrame""","domain","range","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.635488909302243""","dbo:dissolutionDate","""""""3-gram"""""""
"lexicalEntry-687","noun","district","district",,"""NounPPFrame""","range","domain","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.628970902033151""","dbo:dissolutionDate","""""""2-gram"""""""
"lexicalEntry-688","noun","district","district",,"""NounPPFrame""","domain","range","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.628970902033151""","dbo:dissolutionDate","""""""2-gram"""""""
"lexicalEntry-689","noun","district merged","district merged",,"""NounPPFrame""","range","domain","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.621388509904494""","dbo:dissolutionDate","""""""3-gram"""""""
"lexicalEntry-690","noun","district merged","district merged",,"""NounPPFrame""","domain","range","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.621388509904494""","dbo:dissolutionDate","""""""3-gram"""""""
"lexicalEntry-691","noun","town","town",,"""NounPPFrame""","range","domain","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.61394061351492""","dbo:dissolutionDate","""""""3-gram"""""""
"lexicalEntry-692","noun","town","town",,"""NounPPFrame""","domain","range","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.61394061351492""","dbo:dissolutionDate","""""""3-gram"""""""
"lexicalEntry-693","noun","the total area","the total area",,"""NounPPFrame""","range","domain","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.608486984459331""","dbo:dissolutionDate","""""""4-gram"""""""
"lexicalEntry-694","noun","the total area","the total area",,"""NounPPFrame""","domain","range","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.608486984459331""","dbo:dissolutionDate","""""""4-gram"""""""
"lexicalEntry-697","noun","expanded city of","expanded city of",,"""NounPPFrame""","range","domain","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.599144689515278""","dbo:dissolutionDate","""""""3-gram"""""""
"lexicalEntry-698","noun","expanded city of","expanded city of",,"""NounPPFrame""","domain","range","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.599144689515278""","dbo:dissolutionDate","""""""3-gram"""""""
"lexicalEntry-699","noun","expanded city","expanded city",,"""NounPPFrame""","range","domain","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.554700196225229""","dbo:dissolutionDate","""""""3-gram"""""""
"lexicalEntry-700","noun","expanded city","expanded city",,"""NounPPFrame""","domain","range","1","dbo:dissolutionDate","dbo:Place","xsd:date","""0.554700196225229""","dbo:dissolutionDate","""""""3-gram"""""""
