"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-706","noun","mathematician","mathematician",,"""NounPPFrame""","range","domain","1","dbo:doctoralAdvisor","dbo:Scientist","dbo:Person","""0.377122085468987""","dbo:doctoralAdvisor","""""""1-gram"""""""
"lexicalEntry-707","noun","mathematician","mathematician",,"""NounPPFrame""","domain","range","1","dbo:doctoralAdvisor","dbo:Scientist","dbo:Person","""0.377122085468987""","dbo:doctoralAdvisor","""""""1-gram"""""""
"lexicalEntry-708","noun","university","university",,"""NounPPFrame""","range","domain","1","dbo:doctoralAdvisor","dbo:Scientist","dbo:Person","""0.375127040292273""","dbo:doctoralAdvisor","""""""1-gram"""""""
"lexicalEntry-709","noun","university","university",,"""NounPPFrame""","domain","range","1","dbo:doctoralAdvisor","dbo:Scientist","dbo:Person","""0.375127040292273""","dbo:doctoralAdvisor","""""""1-gram"""""""
"lexicalEntry-712","noun","theory","theory",,"""NounPPFrame""","range","domain","1","dbo:doctoralAdvisor","dbo:Scientist","dbo:Person","""0.311194944558433""","dbo:doctoralAdvisor","""""""1-gram"""""""
"lexicalEntry-713","noun","theory","theory",,"""NounPPFrame""","domain","range","1","dbo:doctoralAdvisor","dbo:Scientist","dbo:Person","""0.311194944558433""","dbo:doctoralAdvisor","""""""1-gram"""""""
"lexicalEntry-714","noun","university of","university of",,"""NounPPFrame""","range","domain","1","dbo:doctoralAdvisor","dbo:Scientist","dbo:Person","""0.293624429779036""","dbo:doctoralAdvisor","""""""2-gram"""""""
"lexicalEntry-715","noun","university of","university of",,"""NounPPFrame""","domain","range","1","dbo:doctoralAdvisor","dbo:Scientist","dbo:Person","""0.293624429779036""","dbo:doctoralAdvisor","""""""2-gram"""""""
"lexicalEntry-716","noun","american","american",,"""NounPPFrame""","range","domain","1","dbo:doctoralAdvisor","dbo:Scientist","dbo:Person","""0.29201651898254""","dbo:doctoralAdvisor","""""""1-gram"""""""
"lexicalEntry-717","noun","american","american",,"""NounPPFrame""","domain","range","1","dbo:doctoralAdvisor","dbo:Scientist","dbo:Person","""0.29201651898254""","dbo:doctoralAdvisor","""""""1-gram"""""""
"lexicalEntry-718","noun","professor","professor",,"""NounPPFrame""","range","domain","1","dbo:doctoralAdvisor","dbo:Scientist","dbo:Person","""0.277919440252602""","dbo:doctoralAdvisor","""""""1-gram"""""""
"lexicalEntry-719","noun","professor","professor",,"""NounPPFrame""","domain","range","1","dbo:doctoralAdvisor","dbo:Scientist","dbo:Person","""0.277919440252602""","dbo:doctoralAdvisor","""""""1-gram"""""""
