"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-1003","noun","volleyball","volleyball",,"""NounPPFrame""","range","domain","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.958805551783888""","dbo:foundingYear","""""""1-gram"""""""
"lexicalEntry-1004","noun","volleyball","volleyball",,"""NounPPFrame""","domain","range","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.958805551783888""","dbo:foundingYear","""""""1-gram"""""""
"lexicalEntry-1005","noun","american","american",,"""NounPPFrame""","range","domain","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.950574728318942""","dbo:foundingYear","""""""1-gram"""""""
"lexicalEntry-1006","noun","american","american",,"""NounPPFrame""","domain","range","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.950574728318942""","dbo:foundingYear","""""""1-gram"""""""
"lexicalEntry-1007","noun","firm","firm",,"""NounPPFrame""","range","domain","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.948850835192059""","dbo:foundingYear","""""""1-gram"""""""
"lexicalEntry-1008","noun","firm","firm",,"""NounPPFrame""","domain","range","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.948850835192059""","dbo:foundingYear","""""""1-gram"""""""
"lexicalEntry-1009","noun","hockey","hockey",,"""NounPPFrame""","range","domain","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.944237475584483""","dbo:foundingYear","""""""1-gram"""""""
"lexicalEntry-1010","noun","hockey","hockey",,"""NounPPFrame""","domain","range","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.944237475584483""","dbo:foundingYear","""""""1-gram"""""""
"lexicalEntry-1011","noun","football","football",,"""NounPPFrame""","range","domain","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.936631721525673""","dbo:foundingYear","""""""1-gram"""""""
"lexicalEntry-1012","noun","football","football",,"""NounPPFrame""","domain","range","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.936631721525673""","dbo:foundingYear","""""""1-gram"""""""
"lexicalEntry-1013","noun","basketball","basketball",,"""NounPPFrame""","range","domain","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.936033347165519""","dbo:foundingYear","""""""1-gram"""""""
"lexicalEntry-1014","noun","basketball","basketball",,"""NounPPFrame""","domain","range","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.936033347165519""","dbo:foundingYear","""""""1-gram"""""""
"lexicalEntry-1017","noun","law firm","law firm",,"""NounPPFrame""","range","domain","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.925854853170679""","dbo:foundingYear","""""""2-gram"""""""
"lexicalEntry-1018","noun","law firm","law firm",,"""NounPPFrame""","domain","range","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.925854853170679""","dbo:foundingYear","""""""2-gram"""""""
"lexicalEntry-1019","noun","ice hockey","ice hockey",,"""NounPPFrame""","range","domain","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.923388102121399""","dbo:foundingYear","""""""2-gram"""""""
"lexicalEntry-1020","noun","ice hockey","ice hockey",,"""NounPPFrame""","domain","range","1","dbo:foundingYear","dbo:Organisation","xsd:gYear","""0.923388102121399""","dbo:foundingYear","""""""2-gram"""""""
