"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-1279","noun","season","season",,"""NounPPFrame""","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.836732168396248""","dbo:ground","""""""1-gram"""""""
"lexicalEntry-1280","noun","season","season",,"""NounPPFrame""","domain","range","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.836732168396248""","dbo:ground","""""""1-gram"""""""
"lexicalEntry-1281","noun","club","club",,"""NounPPFrame""","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.815111872907966""","dbo:ground","""""""1-gram"""""""
"lexicalEntry-1282","noun","club","club",,"""NounPPFrame""","domain","range","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.815111872907966""","dbo:ground","""""""1-gram"""""""
"lexicalEntry-1283","noun","football","football",,"""NounPPFrame""","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.814306118627646""","dbo:ground","""""""1-gram"""""""
"lexicalEntry-1284","noun","football","football",,"""NounPPFrame""","domain","range","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.814306118627646""","dbo:ground","""""""1-gram"""""""
"lexicalEntry-1285","noun","football club","football club",,"""NounPPFrame""","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.747812921601202""","dbo:ground","""""""2-gram"""""""
"lexicalEntry-1286","noun","football club","football club",,"""NounPPFrame""","domain","range","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.747812921601202""","dbo:ground","""""""2-gram"""""""
"lexicalEntry-1291","noun","league","league",,"""NounPPFrame""","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.629296857496978""","dbo:ground","""""""1-gram"""""""
"lexicalEntry-1292","noun","league","league",,"""NounPPFrame""","domain","range","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.629296857496978""","dbo:ground","""""""1-gram"""""""
"lexicalEntry-1293","noun","club based","club based",,"""NounPPFrame""","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.621793694701756""","dbo:ground","""""""2-gram"""""""
"lexicalEntry-1294","noun","club based","club based",,"""NounPPFrame""","domain","range","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.621793694701756""","dbo:ground","""""""2-gram"""""""
"lexicalEntry-1295","noun","club based in","club based in",,"""NounPPFrame""","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.617818817539785""","dbo:ground","""""""3-gram"""""""
"lexicalEntry-1296","noun","club based in","club based in",,"""NounPPFrame""","domain","range","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.617818817539785""","dbo:ground","""""""3-gram"""""""
"lexicalEntry-1297","noun","cricket","cricket",,"""NounPPFrame""","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.61523945830574""","dbo:ground","""""""1-gram"""""""
"lexicalEntry-1298","noun","cricket","cricket",,"""NounPPFrame""","domain","range","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.61523945830574""","dbo:ground","""""""1-gram"""""""
"lexicalEntry-1299","noun","season in","season in",,"""NounPPFrame""","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.60787972937572""","dbo:ground","""""""2-gram"""""""
"lexicalEntry-1300","noun","season in","season in",,"""NounPPFrame""","domain","range","1","dbo:ground","dbo:SportsClub","dbo:Stadium","""0.60787972937572""","dbo:ground","""""""2-gram"""""""
