"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-1348","noun","airline","airline",,"""NounPPFrame""","range","domain","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.901210328208851""","dbo:headquarter","""""""1-gram"""""""
"lexicalEntry-1349","noun","airline","airline",,"""NounPPFrame""","domain","range","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.901210328208851""","dbo:headquarter","""""""1-gram"""""""
"lexicalEntry-1350","noun","firm","firm",,"""NounPPFrame""","range","domain","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.881968910380919""","dbo:headquarter","""""""1-gram"""""""
"lexicalEntry-1351","noun","firm","firm",,"""NounPPFrame""","domain","range","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.881968910380919""","dbo:headquarter","""""""1-gram"""""""
"lexicalEntry-1352","noun","law firm","law firm",,"""NounPPFrame""","range","domain","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.857083073857195""","dbo:headquarter","""""""2-gram"""""""
"lexicalEntry-1353","noun","law firm","law firm",,"""NounPPFrame""","domain","range","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.857083073857195""","dbo:headquarter","""""""2-gram"""""""
"lexicalEntry-1354","noun","newspaper","newspaper",,"""NounPPFrame""","range","domain","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.806362082023548""","dbo:headquarter","""""""1-gram"""""""
"lexicalEntry-1355","noun","newspaper","newspaper",,"""NounPPFrame""","domain","range","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.806362082023548""","dbo:headquarter","""""""1-gram"""""""
"lexicalEntry-1356","noun","airport","airport",,"""NounPPFrame""","range","domain","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.713803395234496""","dbo:headquarter","""""""1-gram"""""""
"lexicalEntry-1357","noun","airport","airport",,"""NounPPFrame""","domain","range","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.713803395234496""","dbo:headquarter","""""""1-gram"""""""
"lexicalEntry-1360","noun","offices","offices",,"""NounPPFrame""","range","domain","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.661949947437248""","dbo:headquarter","""""""1-gram"""""""
"lexicalEntry-1361","noun","offices","offices",,"""NounPPFrame""","domain","range","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.661949947437248""","dbo:headquarter","""""""1-gram"""""""
"lexicalEntry-1364","noun","party","party",,"""NounPPFrame""","range","domain","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.654855774294542""","dbo:headquarter","""""""1-gram"""""""
"lexicalEntry-1365","noun","party","party",,"""NounPPFrame""","domain","range","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","""0.654855774294542""","dbo:headquarter","""""""1-gram"""""""
