"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-1579","noun","university","university",,"""NounPPFrame""","range","domain","1","dbo:isPartOf","dbo:AdministrativeRegion","dbo:City","""0.940643681368414""","dbo:isPartOf","""""""1-gram"""""""
"lexicalEntry-1580","noun","university","university",,"""NounPPFrame""","domain","range","1","dbo:isPartOf","dbo:AdministrativeRegion","dbo:City","""0.940643681368414""","dbo:isPartOf","""""""1-gram"""""""
"lexicalEntry-1581","noun","college","college",,"""NounPPFrame""","range","domain","1","dbo:isPartOf","dbo:AdministrativeRegion","dbo:City","""0.850743326920811""","dbo:isPartOf","""""""1-gram"""""""
"lexicalEntry-1582","noun","college","college",,"""NounPPFrame""","domain","range","1","dbo:isPartOf","dbo:AdministrativeRegion","dbo:City","""0.850743326920811""","dbo:isPartOf","""""""1-gram"""""""
"lexicalEntry-1585","noun","university of","university of",,"""NounPPFrame""","range","domain","1","dbo:isPartOf","dbo:AdministrativeRegion","dbo:City","""0.785421327804643""","dbo:isPartOf","""""""2-gram"""""""
"lexicalEntry-1586","noun","university of","university of",,"""NounPPFrame""","domain","range","1","dbo:isPartOf","dbo:AdministrativeRegion","dbo:City","""0.785421327804643""","dbo:isPartOf","""""""2-gram"""""""
"lexicalEntry-1591","noun","of university","of university",,"""NounPPFrame""","range","domain","1","dbo:isPartOf","dbo:AdministrativeRegion","dbo:City","""0.69488226951087""","dbo:isPartOf","""""""3-gram"""""""
"lexicalEntry-1592","noun","of university","of university",,"""NounPPFrame""","domain","range","1","dbo:isPartOf","dbo:AdministrativeRegion","dbo:City","""0.69488226951087""","dbo:isPartOf","""""""3-gram"""""""
"lexicalEntry-1593","noun","of university of","of university of",,"""NounPPFrame""","range","domain","1","dbo:isPartOf","dbo:AdministrativeRegion","dbo:City","""0.682449126446794""","dbo:isPartOf","""""""4-gram"""""""
"lexicalEntry-1594","noun","of university of","of university of",,"""NounPPFrame""","domain","range","1","dbo:isPartOf","dbo:AdministrativeRegion","dbo:City","""0.682449126446794""","dbo:isPartOf","""""""4-gram"""""""
"lexicalEntry-1597","noun","college of","college of",,"""NounPPFrame""","range","domain","1","dbo:isPartOf","dbo:AdministrativeRegion","dbo:City","""0.606482835434854""","dbo:isPartOf","""""""2-gram"""""""
"lexicalEntry-1598","noun","college of","college of",,"""NounPPFrame""","domain","range","1","dbo:isPartOf","dbo:AdministrativeRegion","dbo:City","""0.606482835434854""","dbo:isPartOf","""""""2-gram"""""""
