"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-1682","noun","county seat","county seat",,"""NounPPFrame""","range","domain","1","dbo:largestCity","dbo:Country","dbo:City","""0.926208306513743""","dbo:largestCity","""""""2-gram"""""""
"lexicalEntry-1683","noun","county seat","county seat",,"""NounPPFrame""","domain","range","1","dbo:largestCity","dbo:Country","dbo:City","""0.926208306513743""","dbo:largestCity","""""""2-gram"""""""
"lexicalEntry-1684","noun","u.s state","u.s state",,"""NounPPFrame""","range","domain","1","dbo:largestCity","dbo:Country","dbo:City","""0.925127811992084""","dbo:largestCity","""""""2-gram"""""""
"lexicalEntry-1685","noun","u.s state","u.s state",,"""NounPPFrame""","domain","range","1","dbo:largestCity","dbo:Country","dbo:City","""0.925127811992084""","dbo:largestCity","""""""2-gram"""""""
"lexicalEntry-1686","noun","u.s state of","u.s state of",,"""NounPPFrame""","range","domain","1","dbo:largestCity","dbo:Country","dbo:City","""0.924185392359174""","dbo:largestCity","""""""3-gram"""""""
"lexicalEntry-1687","noun","u.s state of","u.s state of",,"""NounPPFrame""","domain","range","1","dbo:largestCity","dbo:Country","dbo:City","""0.924185392359174""","dbo:largestCity","""""""3-gram"""""""
"lexicalEntry-1690","noun","u.s","u.s",,"""NounPPFrame""","range","domain","1","dbo:largestCity","dbo:Country","dbo:City","""0.923049773313633""","dbo:largestCity","""""""2-gram"""""""
"lexicalEntry-1691","noun","u.s","u.s",,"""NounPPFrame""","domain","range","1","dbo:largestCity","dbo:Country","dbo:City","""0.923049773313633""","dbo:largestCity","""""""2-gram"""""""
"lexicalEntry-1698","noun","2010 census","2010 census",,"""NounPPFrame""","range","domain","1","dbo:largestCity","dbo:Country","dbo:City","""0.856011390124778""","dbo:largestCity","""""""3-gram"""""""
"lexicalEntry-1699","noun","2010 census","2010 census",,"""NounPPFrame""","domain","range","1","dbo:largestCity","dbo:Country","dbo:City","""0.856011390124778""","dbo:largestCity","""""""3-gram"""""""
