"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-1707","noun","members","members",,"""NounPPFrame""","range","domain","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.502045354289653""","dbo:lastElectionDate","""""""1-gram"""""""
"lexicalEntry-1708","noun","members","members",,"""NounPPFrame""","domain","range","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.502045354289653""","dbo:lastElectionDate","""""""1-gram"""""""
"lexicalEntry-1709","noun","council","council",,"""NounPPFrame""","range","domain","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.485605903634232""","dbo:lastElectionDate","""""""1-gram"""""""
"lexicalEntry-1710","noun","council","council",,"""NounPPFrame""","domain","range","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.485605903634232""","dbo:lastElectionDate","""""""1-gram"""""""
"lexicalEntry-1711","noun","legislature","legislature",,"""NounPPFrame""","range","domain","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.439129049628117""","dbo:lastElectionDate","""""""1-gram"""""""
"lexicalEntry-1712","noun","legislature","legislature",,"""NounPPFrame""","domain","range","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.439129049628117""","dbo:lastElectionDate","""""""1-gram"""""""
"lexicalEntry-1713","noun","assembly","assembly",,"""NounPPFrame""","range","domain","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.438327218645303""","dbo:lastElectionDate","""""""1-gram"""""""
"lexicalEntry-1714","noun","assembly","assembly",,"""NounPPFrame""","domain","range","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.438327218645303""","dbo:lastElectionDate","""""""1-gram"""""""
"lexicalEntry-1717","noun","legislature of","legislature of",,"""NounPPFrame""","range","domain","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.406318750317571""","dbo:lastElectionDate","""""""2-gram"""""""
"lexicalEntry-1718","noun","legislature of","legislature of",,"""NounPPFrame""","domain","range","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.406318750317571""","dbo:lastElectionDate","""""""2-gram"""""""
"lexicalEntry-1719","noun","body","body",,"""NounPPFrame""","range","domain","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.381579135350506""","dbo:lastElectionDate","""""""1-gram"""""""
"lexicalEntry-1720","noun","body","body",,"""NounPPFrame""","domain","range","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.381579135350506""","dbo:lastElectionDate","""""""1-gram"""""""
"lexicalEntry-1723","noun","house","house",,"""NounPPFrame""","range","domain","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.363766418634276""","dbo:lastElectionDate","""""""1-gram"""""""
"lexicalEntry-1724","noun","house","house",,"""NounPPFrame""","domain","range","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","""0.363766418634276""","dbo:lastElectionDate","""""""1-gram"""""""
