"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-1804","noun","season","season",,"""NounPPFrame""","range","domain","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.968584275180932""","dbo:league","""""""1-gram"""""""
"lexicalEntry-1805","noun","season","season",,"""NounPPFrame""","domain","range","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.968584275180932""","dbo:league","""""""1-gram"""""""
"lexicalEntry-1806","noun","basketball","basketball",,"""NounPPFrame""","range","domain","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.888737468161497""","dbo:league","""""""1-gram"""""""
"lexicalEntry-1807","noun","basketball","basketball",,"""NounPPFrame""","domain","range","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.888737468161497""","dbo:league","""""""1-gram"""""""
"lexicalEntry-1808","noun","speedway","speedway",,"""NounPPFrame""","range","domain","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.783906401356816""","dbo:league","""""""1-gram"""""""
"lexicalEntry-1809","noun","speedway","speedway",,"""NounPPFrame""","domain","range","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.783906401356816""","dbo:league","""""""1-gram"""""""
"lexicalEntry-1810","noun","team","team",,"""NounPPFrame""","range","domain","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.774707598787337""","dbo:league","""""""1-gram"""""""
"lexicalEntry-1811","noun","team","team",,"""NounPPFrame""","domain","range","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.774707598787337""","dbo:league","""""""1-gram"""""""
"lexicalEntry-1818","noun","club","club",,"""NounPPFrame""","range","domain","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.752318558141426""","dbo:league","""""""1-gram"""""""
"lexicalEntry-1819","noun","club","club",,"""NounPPFrame""","domain","range","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.752318558141426""","dbo:league","""""""1-gram"""""""
"lexicalEntry-1820","noun","speedway team","speedway team",,"""NounPPFrame""","range","domain","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.744524312816381""","dbo:league","""""""2-gram"""""""
"lexicalEntry-1821","noun","speedway team","speedway team",,"""NounPPFrame""","domain","range","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.744524312816381""","dbo:league","""""""2-gram"""""""
"lexicalEntry-1824","noun","football","football",,"""NounPPFrame""","range","domain","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.736185863573396""","dbo:league","""""""1-gram"""""""
"lexicalEntry-1825","noun","football","football",,"""NounPPFrame""","domain","range","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","""0.736185863573396""","dbo:league","""""""1-gram"""""""
