"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-1942","noun","the municipality comprises","the municipality comprises",,"""NounPPFrame""","range","domain","1","dbo:mayor","dbo:Settlement/dbo:City","dbo:Person","""0.353553390593274""","dbo:mayor","""""""3-gram"""""""
"lexicalEntry-1943","noun","the municipality comprises","the municipality comprises",,"""NounPPFrame""","domain","range","1","dbo:mayor","dbo:Settlement/dbo:City","dbo:Person","""0.353553390593274""","dbo:mayor","""""""3-gram"""""""
"lexicalEntry-1952","noun","located in belgian province","located in belgian province",,"""NounPPFrame""","range","domain","1","dbo:mayor","dbo:Settlement/dbo:City","dbo:Person","""0.270030862433661""","dbo:mayor","""""""5-gram"""""""
"lexicalEntry-1953","noun","located in belgian province","located in belgian province",,"""NounPPFrame""","domain","range","1","dbo:mayor","dbo:Settlement/dbo:City","dbo:Person","""0.270030862433661""","dbo:mayor","""""""5-gram"""""""
"lexicalEntry-1956","noun","kmâ²","kmâ²",,"""NounPPFrame""","range","domain","1","dbo:mayor","dbo:Settlement/dbo:City","dbo:Person","""0.265165042944955""","dbo:mayor","""""""3-gram"""""""
"lexicalEntry-1957","noun","kmâ²","kmâ²",,"""NounPPFrame""","domain","range","1","dbo:mayor","dbo:Settlement/dbo:City","dbo:Person","""0.265165042944955""","dbo:mayor","""""""3-gram"""""""
"lexicalEntry-1960","noun","belgian province","belgian province",,"""NounPPFrame""","range","domain","1","dbo:mayor","dbo:Settlement/dbo:City","dbo:Person","""0.25802342327107""","dbo:mayor","""""""3-gram"""""""
"lexicalEntry-1961","noun","belgian province","belgian province",,"""NounPPFrame""","domain","range","1","dbo:mayor","dbo:Settlement/dbo:City","dbo:Person","""0.25802342327107""","dbo:mayor","""""""3-gram"""""""
"lexicalEntry-1962","noun","inhabitants per kmâ²","inhabitants per kmâ²",,"""NounPPFrame""","range","domain","1","dbo:mayor","dbo:Settlement/dbo:City","dbo:Person","""0.252590742770461""","dbo:mayor","""""""3-gram"""""""
"lexicalEntry-1963","noun","inhabitants per kmâ²","inhabitants per kmâ²",,"""NounPPFrame""","domain","range","1","dbo:mayor","dbo:Settlement/dbo:City","dbo:Person","""0.252590742770461""","dbo:mayor","""""""3-gram"""""""
