"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-1965","noun","in perth","in perth",,"""NounPPFrame""","range","domain","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.643119694284408""","dbo:minimumTemperature","""""""3-gram"""""""
"lexicalEntry-1966","noun","in perth","in perth",,"""NounPPFrame""","domain","range","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.643119694284408""","dbo:minimumTemperature","""""""3-gram"""""""
"lexicalEntry-1967","noun","perth","perth",,"""NounPPFrame""","range","domain","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.634745449542008""","dbo:minimumTemperature","""""""2-gram"""""""
"lexicalEntry-1968","noun","perth","perth",,"""NounPPFrame""","domain","range","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.634745449542008""","dbo:minimumTemperature","""""""2-gram"""""""
"lexicalEntry-1971","noun","in perth kinross","in perth kinross",,"""NounPPFrame""","range","domain","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.59336610396393""","dbo:minimumTemperature","""""""4-gram"""""""
"lexicalEntry-1972","noun","in perth kinross","in perth kinross",,"""NounPPFrame""","domain","range","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.59336610396393""","dbo:minimumTemperature","""""""4-gram"""""""
"lexicalEntry-1973","noun","perth kinross","perth kinross",,"""NounPPFrame""","range","domain","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.589368958489306""","dbo:minimumTemperature","""""""3-gram"""""""
"lexicalEntry-1974","noun","perth kinross","perth kinross",,"""NounPPFrame""","domain","range","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.589368958489306""","dbo:minimumTemperature","""""""3-gram"""""""
"lexicalEntry-1977","noun","designated site of","designated site of",,"""NounPPFrame""","range","domain","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.467707173346743""","dbo:minimumTemperature","""""""3-gram"""""""
"lexicalEntry-1978","noun","designated site of","designated site of",,"""NounPPFrame""","domain","range","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.467707173346743""","dbo:minimumTemperature","""""""3-gram"""""""
"lexicalEntry-1981","noun","of blairgowrie in","of blairgowrie in",,"""NounPPFrame""","range","domain","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.433012701892219""","dbo:minimumTemperature","""""""3-gram"""""""
"lexicalEntry-1982","noun","of blairgowrie in","of blairgowrie in",,"""NounPPFrame""","domain","range","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.433012701892219""","dbo:minimumTemperature","""""""3-gram"""""""
"lexicalEntry-1983","noun","special area","special area",,"""NounPPFrame""","range","domain","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.412478955692153""","dbo:minimumTemperature","""""""3-gram"""""""
"lexicalEntry-1984","noun","special area","special area",,"""NounPPFrame""","domain","range","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.412478955692153""","dbo:minimumTemperature","""""""3-gram"""""""
"lexicalEntry-1985","noun","loch","loch",,"""NounPPFrame""","range","domain","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.400891862868637""","dbo:minimumTemperature","""""""3-gram"""""""
"lexicalEntry-1986","noun","loch","loch",,"""NounPPFrame""","domain","range","1","dbo:minimumTemperature","dbo:Planet","xsd:double","""0.400891862868637""","dbo:minimumTemperature","""""""3-gram"""""""
