"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-1997","noun","painter","painter",,"""NounPPFrame""","range","domain","1","dbo:movement","dbo:Artist","owl:Thing","""0.431142640896389""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-1998","noun","painter","painter",,"""NounPPFrame""","domain","range","1","dbo:movement","dbo:Artist","owl:Thing","""0.431142640896389""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-1999","noun","artist","artist",,"""NounPPFrame""","range","domain","1","dbo:movement","dbo:Artist","owl:Thing","""0.295285963817769""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-2000","noun","artist","artist",,"""NounPPFrame""","domain","range","1","dbo:movement","dbo:Artist","owl:Thing","""0.295285963817769""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-2007","noun","painting","painting",,"""NounPPFrame""","range","domain","1","dbo:movement","dbo:Artist","owl:Thing","""0.232208854582708""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-2008","noun","painting","painting",,"""NounPPFrame""","domain","range","1","dbo:movement","dbo:Artist","owl:Thing","""0.232208854582708""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-2009","noun","movement","movement",,"""NounPPFrame""","range","domain","1","dbo:movement","dbo:Artist","owl:Thing","""0.224369667016267""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-2010","noun","movement","movement",,"""NounPPFrame""","domain","range","1","dbo:movement","dbo:Artist","owl:Thing","""0.224369667016267""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-2011","noun","american","american",,"""NounPPFrame""","range","domain","1","dbo:movement","dbo:Artist","owl:Thing","""0.222704149661247""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-2012","noun","american","american",,"""NounPPFrame""","domain","range","1","dbo:movement","dbo:Artist","owl:Thing","""0.222704149661247""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-2013","noun","paintings","paintings",,"""NounPPFrame""","range","domain","1","dbo:movement","dbo:Artist","owl:Thing","""0.216592823676661""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-2014","noun","paintings","paintings",,"""NounPPFrame""","domain","range","1","dbo:movement","dbo:Artist","owl:Thing","""0.216592823676661""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-2015","noun","poet","poet",,"""NounPPFrame""","range","domain","1","dbo:movement","dbo:Artist","owl:Thing","""0.215595097155339""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-2016","noun","poet","poet",,"""NounPPFrame""","domain","range","1","dbo:movement","dbo:Artist","owl:Thing","""0.215595097155339""","dbo:movement","""""""1-gram"""""""
