"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-2043","noun","painting","painting",,"""NounPPFrame""","range","domain","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.752543285170023""","dbo:museum","""""""1-gram"""""""
"lexicalEntry-2044","noun","painting","painting",,"""NounPPFrame""","domain","range","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.752543285170023""","dbo:museum","""""""1-gram"""""""
"lexicalEntry-2045","noun","painting by","painting by",,"""NounPPFrame""","range","domain","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.656372150943703""","dbo:museum","""""""2-gram"""""""
"lexicalEntry-2046","noun","painting by","painting by",,"""NounPPFrame""","domain","range","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.656372150943703""","dbo:museum","""""""2-gram"""""""
"lexicalEntry-2047","noun","museum","museum",,"""NounPPFrame""","range","domain","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.49429955459732""","dbo:museum","""""""1-gram"""""""
"lexicalEntry-2048","noun","museum","museum",,"""NounPPFrame""","domain","range","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.49429955459732""","dbo:museum","""""""1-gram"""""""
"lexicalEntry-2049","noun","artist","artist",,"""NounPPFrame""","range","domain","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.488339080410042""","dbo:museum","""""""1-gram"""""""
"lexicalEntry-2050","noun","artist","artist",,"""NounPPFrame""","domain","range","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.488339080410042""","dbo:museum","""""""1-gram"""""""
"lexicalEntry-2057","noun","museum of","museum of",,"""NounPPFrame""","range","domain","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.389248887146548""","dbo:museum","""""""2-gram"""""""
"lexicalEntry-2058","noun","museum of","museum of",,"""NounPPFrame""","domain","range","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.389248887146548""","dbo:museum","""""""2-gram"""""""
"lexicalEntry-2059","noun","the painting","the painting",,"""NounPPFrame""","range","domain","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.385313185392665""","dbo:museum","""""""2-gram"""""""
"lexicalEntry-2060","noun","the painting","the painting",,"""NounPPFrame""","domain","range","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.385313185392665""","dbo:museum","""""""2-gram"""""""
"lexicalEntry-2061","noun","collection","collection",,"""NounPPFrame""","range","domain","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.38433746887654""","dbo:museum","""""""1-gram"""""""
"lexicalEntry-2062","noun","collection","collection",,"""NounPPFrame""","domain","range","1","dbo:museum","dbo:Artwork","dbo: Museum","""0.38433746887654""","dbo:museum","""""""1-gram"""""""
