"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-2158","noun","alexandria","alexandria",,"""NounPPFrame""","range","domain","1","dbo:nationality","dbo:Person","dbo:Country","""0.948399961882001""","dbo:nationality","""""""1-gram"""""""
"lexicalEntry-2159","noun","alexandria","alexandria",,"""NounPPFrame""","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","""0.948399961882001""","dbo:nationality","""""""1-gram"""""""
"lexicalEntry-2160","noun","patriarch of","patriarch of",,"""NounPPFrame""","range","domain","1","dbo:nationality","dbo:Person","dbo:Country","""0.943960740336786""","dbo:nationality","""""""2-gram"""""""
"lexicalEntry-2161","noun","patriarch of","patriarch of",,"""NounPPFrame""","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","""0.943960740336786""","dbo:nationality","""""""2-gram"""""""
"lexicalEntry-2162","noun","patriarch","patriarch",,"""NounPPFrame""","range","domain","1","dbo:nationality","dbo:Person","dbo:Country","""0.939699044800515""","dbo:nationality","""""""1-gram"""""""
"lexicalEntry-2163","noun","patriarch","patriarch",,"""NounPPFrame""","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","""0.939699044800515""","dbo:nationality","""""""1-gram"""""""
"lexicalEntry-2164","noun","guitarist","guitarist",,"""NounPPFrame""","range","domain","1","dbo:nationality","dbo:Person","dbo:Country","""0.903327183250897""","dbo:nationality","""""""1-gram"""""""
"lexicalEntry-2165","noun","guitarist","guitarist",,"""NounPPFrame""","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","""0.903327183250897""","dbo:nationality","""""""1-gram"""""""
"lexicalEntry-2166","noun","golfer","golfer",,"""NounPPFrame""","range","domain","1","dbo:nationality","dbo:Person","dbo:Country","""0.895771036799997""","dbo:nationality","""""""1-gram"""""""
"lexicalEntry-2167","noun","golfer","golfer",,"""NounPPFrame""","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","""0.895771036799997""","dbo:nationality","""""""1-gram"""""""
"lexicalEntry-2168","noun","swedish","swedish",,"""NounPPFrame""","range","domain","1","dbo:nationality","dbo:Person","dbo:Country","""0.890436055422247""","dbo:nationality","""""""1-gram"""""""
"lexicalEntry-2169","noun","swedish","swedish",,"""NounPPFrame""","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","""0.890436055422247""","dbo:nationality","""""""1-gram"""""""
"lexicalEntry-2174","noun","mark","mark",,"""NounPPFrame""","range","domain","1","dbo:nationality","dbo:Person","dbo:Country","""0.879465396564016""","dbo:nationality","""""""1-gram"""""""
"lexicalEntry-2175","noun","mark","mark",,"""NounPPFrame""","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","""0.879465396564016""","dbo:nationality","""""""1-gram"""""""
"lexicalEntry-2176","noun","professional golfer","professional golfer",,"""NounPPFrame""","range","domain","1","dbo:nationality","dbo:Person","dbo:Country","""0.875810116909241""","dbo:nationality","""""""2-gram"""""""
"lexicalEntry-2177","noun","professional golfer","professional golfer",,"""NounPPFrame""","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","""0.875810116909241""","dbo:nationality","""""""2-gram"""""""
