"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-4474","noun","henry james","henry james",,"""NounPPFrame""","range","domain","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.677334010667683""","dbo:numberOfPages","""""""2-gram"""""""
"lexicalEntry-4475","noun","henry james","henry james",,"""NounPPFrame""","domain","range","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.677334010667683""","dbo:numberOfPages","""""""2-gram"""""""
"lexicalEntry-4476","noun","story by henry","story by henry",,"""NounPPFrame""","range","domain","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.649234454064236""","dbo:numberOfPages","""""""3-gram"""""""
"lexicalEntry-4477","noun","story by henry","story by henry",,"""NounPPFrame""","domain","range","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.649234454064236""","dbo:numberOfPages","""""""3-gram"""""""
"lexicalEntry-4478","noun","by henry james","by henry james",,"""NounPPFrame""","range","domain","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.628618557093712""","dbo:numberOfPages","""""""3-gram"""""""
"lexicalEntry-4479","noun","by henry james","by henry james",,"""NounPPFrame""","domain","range","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.628618557093712""","dbo:numberOfPages","""""""3-gram"""""""
"lexicalEntry-4482","noun","book","book",,"""NounPPFrame""","range","domain","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.605305030988155""","dbo:numberOfPages","""""""1-gram"""""""
"lexicalEntry-4483","noun","book","book",,"""NounPPFrame""","domain","range","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.605305030988155""","dbo:numberOfPages","""""""1-gram"""""""
"lexicalEntry-4484","noun","by henry","by henry",,"""NounPPFrame""","range","domain","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.592667259334222""","dbo:numberOfPages","""""""2-gram"""""""
"lexicalEntry-4485","noun","by henry","by henry",,"""NounPPFrame""","domain","range","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.592667259334222""","dbo:numberOfPages","""""""2-gram"""""""
"lexicalEntry-4492","noun","james","james",,"""NounPPFrame""","range","domain","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.487377324966494""","dbo:numberOfPages","""""""2-gram"""""""
"lexicalEntry-4493","noun","james","james",,"""NounPPFrame""","domain","range","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.487377324966494""","dbo:numberOfPages","""""""2-gram"""""""
"lexicalEntry-4494","noun","henry james published in","henry james published in",,"""NounPPFrame""","range","domain","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.4789474720714""","dbo:numberOfPages","""""""5-gram"""""""
"lexicalEntry-4495","noun","henry james published in","henry james published in",,"""NounPPFrame""","domain","range","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","""0.4789474720714""","dbo:numberOfPages","""""""5-gram"""""""
