"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-4497","noun","soap","soap",,"""NounPPFrame""","range","domain","1","dbo:parent","dbo:Person","dbo:Person","""0.73030296429291""","dbo:parent","""""""1-gram"""""""
"lexicalEntry-4498","noun","soap","soap",,"""NounPPFrame""","domain","range","1","dbo:parent","dbo:Person","dbo:Person","""0.73030296429291""","dbo:parent","""""""1-gram"""""""
"lexicalEntry-4499","noun","soap opera","soap opera",,"""NounPPFrame""","range","domain","1","dbo:parent","dbo:Person","dbo:Person","""0.730198085254671""","dbo:parent","""""""2-gram"""""""
"lexicalEntry-4500","noun","soap opera","soap opera",,"""NounPPFrame""","domain","range","1","dbo:parent","dbo:Person","dbo:Person","""0.730198085254671""","dbo:parent","""""""2-gram"""""""
"lexicalEntry-4501","noun","opera","opera",,"""NounPPFrame""","range","domain","1","dbo:parent","dbo:Person","dbo:Person","""0.729864737560853""","dbo:parent","""""""1-gram"""""""
"lexicalEntry-4502","noun","opera","opera",,"""NounPPFrame""","domain","range","1","dbo:parent","dbo:Person","dbo:Person","""0.729864737560853""","dbo:parent","""""""1-gram"""""""
"lexicalEntry-4503","noun","character","character",,"""NounPPFrame""","range","domain","1","dbo:parent","dbo:Person","dbo:Person","""0.664966948867786""","dbo:parent","""""""1-gram"""""""
"lexicalEntry-4504","noun","character","character",,"""NounPPFrame""","domain","range","1","dbo:parent","dbo:Person","dbo:Person","""0.664966948867786""","dbo:parent","""""""1-gram"""""""
"lexicalEntry-4507","noun","fictional character","fictional character",,"""NounPPFrame""","range","domain","1","dbo:parent","dbo:Person","dbo:Person","""0.65499962400626""","dbo:parent","""""""4-gram"""""""
"lexicalEntry-4508","noun","fictional character","fictional character",,"""NounPPFrame""","domain","range","1","dbo:parent","dbo:Person","dbo:Person","""0.65499962400626""","dbo:parent","""""""4-gram"""""""
"lexicalEntry-4517","noun","character from","character from",,"""NounPPFrame""","range","domain","1","dbo:parent","dbo:Person","dbo:Person","""0.599982000809959""","dbo:parent","""""""2-gram"""""""
"lexicalEntry-4518","noun","character from","character from",,"""NounPPFrame""","domain","range","1","dbo:parent","dbo:Person","dbo:Person","""0.599982000809959""","dbo:parent","""""""2-gram"""""""
