"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-3791","noun","canada","canada",,"""NounPPFrame""","range","domain","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.90175111549372""","dbo:party","""""""1-gram"""""""
"lexicalEntry-3792","noun","canada","canada",,"""NounPPFrame""","domain","range","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.90175111549372""","dbo:party","""""""1-gram"""""""
"lexicalEntry-3793","noun","of canada","of canada",,"""NounPPFrame""","range","domain","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.878795510281165""","dbo:party","""""""2-gram"""""""
"lexicalEntry-3794","noun","of canada","of canada",,"""NounPPFrame""","domain","range","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.878795510281165""","dbo:party","""""""2-gram"""""""
"lexicalEntry-3795","noun","house","house",,"""NounPPFrame""","range","domain","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.871818628707361""","dbo:party","""""""1-gram"""""""
"lexicalEntry-3796","noun","house","house",,"""NounPPFrame""","domain","range","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.871818628707361""","dbo:party","""""""1-gram"""""""
"lexicalEntry-3799","noun","house of","house of",,"""NounPPFrame""","range","domain","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.867708807630676""","dbo:party","""""""2-gram"""""""
"lexicalEntry-3800","noun","house of","house of",,"""NounPPFrame""","domain","range","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.867708807630676""","dbo:party","""""""2-gram"""""""
"lexicalEntry-3803","noun","house of commons","house of commons",,"""NounPPFrame""","range","domain","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.865941487999844""","dbo:party","""""""4-gram"""""""
"lexicalEntry-3804","noun","house of commons","house of commons",,"""NounPPFrame""","domain","range","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.865941487999844""","dbo:party","""""""4-gram"""""""
"lexicalEntry-3805","noun","of commons of","of commons of",,"""NounPPFrame""","range","domain","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.838958022254655""","dbo:party","""""""3-gram"""""""
"lexicalEntry-3806","noun","of commons of","of commons of",,"""NounPPFrame""","domain","range","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.838958022254655""","dbo:party","""""""3-gram"""""""
"lexicalEntry-3807","noun","commons of canada","commons of canada",,"""NounPPFrame""","range","domain","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.838349100354482""","dbo:party","""""""3-gram"""""""
"lexicalEntry-3808","noun","commons of canada","commons of canada",,"""NounPPFrame""","domain","range","1","dbo:party","dbo:Person","dbo:PoliticalParty","""0.838349100354482""","dbo:party","""""""3-gram"""""""
