"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-3904","noun","city","city",,"""NounPPFrame""","range","domain","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.809461509025026""","dbo:postalCode","""""""1-gram"""""""
"lexicalEntry-3905","noun","city","city",,"""NounPPFrame""","domain","range","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.809461509025026""","dbo:postalCode","""""""1-gram"""""""
"lexicalEntry-3910","noun","city in","city in",,"""NounPPFrame""","range","domain","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.782041049657596""","dbo:postalCode","""""""2-gram"""""""
"lexicalEntry-3911","noun","city in","city in",,"""NounPPFrame""","domain","range","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.782041049657596""","dbo:postalCode","""""""2-gram"""""""
"lexicalEntry-3912","noun","2010 census","2010 census",,"""NounPPFrame""","range","domain","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.76908466610336""","dbo:postalCode","""""""2-gram"""""""
"lexicalEntry-3913","noun","2010 census","2010 census",,"""NounPPFrame""","domain","range","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.76908466610336""","dbo:postalCode","""""""2-gram"""""""
"lexicalEntry-3916","noun","population","population",,"""NounPPFrame""","range","domain","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.755256562397294""","dbo:postalCode","""""""1-gram"""""""
"lexicalEntry-3917","noun","population","population",,"""NounPPFrame""","domain","range","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.755256562397294""","dbo:postalCode","""""""1-gram"""""""
"lexicalEntry-3918","noun","county","county",,"""NounPPFrame""","range","domain","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.75404538742108""","dbo:postalCode","""""""1-gram"""""""
"lexicalEntry-3919","noun","county","county",,"""NounPPFrame""","domain","range","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.75404538742108""","dbo:postalCode","""""""1-gram"""""""
"lexicalEntry-3920","noun","united","united",,"""NounPPFrame""","range","domain","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.749165742865476""","dbo:postalCode","""""""1-gram"""""""
"lexicalEntry-3921","noun","united","united",,"""NounPPFrame""","domain","range","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.749165742865476""","dbo:postalCode","""""""1-gram"""""""
"lexicalEntry-3922","noun","states","states",,"""NounPPFrame""","range","domain","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.748143777911629""","dbo:postalCode","""""""1-gram"""""""
"lexicalEntry-3923","noun","states","states",,"""NounPPFrame""","domain","range","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.748143777911629""","dbo:postalCode","""""""1-gram"""""""
"lexicalEntry-3924","noun","united states","united states",,"""NounPPFrame""","range","domain","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.747440414525346""","dbo:postalCode","""""""2-gram"""""""
"lexicalEntry-3925","noun","united states","united states",,"""NounPPFrame""","domain","range","1","dbo:postalCode","dbo:Place","xsd:nonNegativeInteger","""0.747440414525346""","dbo:postalCode","""""""2-gram"""""""
