"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-3950","noun","award","award",,"""NounPPFrame""","range","domain","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","""0.539321966638759""","dbo:presenter","""""""1-gram"""""""
"lexicalEntry-3951","noun","award","award",,"""NounPPFrame""","domain","range","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","""0.539321966638759""","dbo:presenter","""""""1-gram"""""""
"lexicalEntry-3956","noun","radio","radio",,"""NounPPFrame""","range","domain","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","""0.498285636710897""","dbo:presenter","""""""1-gram"""""""
"lexicalEntry-3957","noun","radio","radio",,"""NounPPFrame""","domain","range","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","""0.498285636710897""","dbo:presenter","""""""1-gram"""""""
"lexicalEntry-3960","noun","award for","award for",,"""NounPPFrame""","range","domain","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","""0.486232035802094""","dbo:presenter","""""""2-gram"""""""
"lexicalEntry-3961","noun","award for","award for",,"""NounPPFrame""","domain","range","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","""0.486232035802094""","dbo:presenter","""""""2-gram"""""""
"lexicalEntry-3964","noun","show","show",,"""NounPPFrame""","range","domain","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","""0.472944036701632""","dbo:presenter","""""""1-gram"""""""
"lexicalEntry-3965","noun","show","show",,"""NounPPFrame""","domain","range","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","""0.472944036701632""","dbo:presenter","""""""1-gram"""""""
"lexicalEntry-3970","noun","awards","awards",,"""NounPPFrame""","range","domain","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","""0.435878047908281""","dbo:presenter","""""""1-gram"""""""
"lexicalEntry-3971","noun","awards","awards",,"""NounPPFrame""","domain","range","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","""0.435878047908281""","dbo:presenter","""""""1-gram"""""""
