"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-4032","noun","bank","bank",,"""NounPPFrame""","range","domain","1","dbo:product","dbo:Company","dbo:Ship","""0.501180375152192""","dbo:product","""""""1-gram"""""""
"lexicalEntry-4033","noun","bank","bank",,"""NounPPFrame""","domain","range","1","dbo:product","dbo:Company","dbo:Ship","""0.501180375152192""","dbo:product","""""""1-gram"""""""
"lexicalEntry-4036","noun","company","company",,"""NounPPFrame""","range","domain","1","dbo:product","dbo:Company","dbo:Ship","""0.473183230891859""","dbo:product","""""""1-gram"""""""
"lexicalEntry-4037","noun","company","company",,"""NounPPFrame""","domain","range","1","dbo:product","dbo:Company","dbo:Ship","""0.473183230891859""","dbo:product","""""""1-gram"""""""
"lexicalEntry-4038","noun","banking","banking",,"""NounPPFrame""","range","domain","1","dbo:product","dbo:Company","dbo:Ship","""0.425575641698703""","dbo:product","""""""1-gram"""""""
"lexicalEntry-4039","noun","banking","banking",,"""NounPPFrame""","domain","range","1","dbo:product","dbo:Company","dbo:Ship","""0.425575641698703""","dbo:product","""""""1-gram"""""""
"lexicalEntry-4040","noun","services","services",,"""NounPPFrame""","range","domain","1","dbo:product","dbo:Company","dbo:Ship","""0.404996383431915""","dbo:product","""""""1-gram"""""""
"lexicalEntry-4041","noun","services","services",,"""NounPPFrame""","domain","range","1","dbo:product","dbo:Company","dbo:Ship","""0.404996383431915""","dbo:product","""""""1-gram"""""""
"lexicalEntry-4044","noun","bank in","bank in",,"""NounPPFrame""","range","domain","1","dbo:product","dbo:Company","dbo:Ship","""0.398247345008387""","dbo:product","""""""2-gram"""""""
"lexicalEntry-4045","noun","bank in","bank in",,"""NounPPFrame""","domain","range","1","dbo:product","dbo:Company","dbo:Ship","""0.398247345008387""","dbo:product","""""""2-gram"""""""
"lexicalEntry-4052","noun","bank of","bank of",,"""NounPPFrame""","range","domain","1","dbo:product","dbo:Company","dbo:Ship","""0.340444097178823""","dbo:product","""""""2-gram"""""""
"lexicalEntry-4053","noun","bank of","bank of",,"""NounPPFrame""","domain","range","1","dbo:product","dbo:Company","dbo:Ship","""0.340444097178823""","dbo:product","""""""2-gram"""""""
