"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-2487","noun","journal","journal",,"""NounPPFrame""","range","domain","1","dbo:publisher","dbo:VideoGame","dbo:Company","""0.932620205085828""","dbo:publisher","""""""1-gram"""""""
"lexicalEntry-2488","noun","journal","journal",,"""NounPPFrame""","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","""0.932620205085828""","dbo:publisher","""""""1-gram"""""""
"lexicalEntry-2489","noun","manga","manga",,"""NounPPFrame""","range","domain","1","dbo:publisher","dbo:VideoGame","dbo:Company","""0.922368658986286""","dbo:publisher","""""""1-gram"""""""
"lexicalEntry-2490","noun","manga","manga",,"""NounPPFrame""","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","""0.922368658986286""","dbo:publisher","""""""1-gram"""""""
"lexicalEntry-2495","noun","series","series",,"""NounPPFrame""","range","domain","1","dbo:publisher","dbo:VideoGame","dbo:Company","""0.881191976640595""","dbo:publisher","""""""1-gram"""""""
"lexicalEntry-2496","noun","series","series",,"""NounPPFrame""","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","""0.881191976640595""","dbo:publisher","""""""1-gram"""""""
"lexicalEntry-2499","noun","game","game",,"""NounPPFrame""","range","domain","1","dbo:publisher","dbo:VideoGame","dbo:Company","""0.856534438403611""","dbo:publisher","""""""1-gram"""""""
"lexicalEntry-2500","noun","game","game",,"""NounPPFrame""","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","""0.856534438403611""","dbo:publisher","""""""1-gram"""""""
"lexicalEntry-2505","noun","book","book",,"""NounPPFrame""","range","domain","1","dbo:publisher","dbo:VideoGame","dbo:Company","""0.847646190432115""","dbo:publisher","""""""1-gram"""""""
"lexicalEntry-2506","noun","book","book",,"""NounPPFrame""","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","""0.847646190432115""","dbo:publisher","""""""1-gram"""""""
"lexicalEntry-2507","noun","comic book","comic book",,"""NounPPFrame""","range","domain","1","dbo:publisher","dbo:VideoGame","dbo:Company","""0.837000468210181""","dbo:publisher","""""""2-gram"""""""
"lexicalEntry-2508","noun","comic book","comic book",,"""NounPPFrame""","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","""0.837000468210181""","dbo:publisher","""""""2-gram"""""""
