"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-2533","noun","game","game",,"""NounPPFrame""","range","domain","1","dbo:releaseDate","dbo:Software","xsd:date","""0.826934789204297""","dbo:releaseDate","""""""1-gram"""""""
"lexicalEntry-2534","noun","game","game",,"""NounPPFrame""","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","""0.826934789204297""","dbo:releaseDate","""""""1-gram"""""""
"lexicalEntry-2537","noun","song","song",,"""NounPPFrame""","range","domain","1","dbo:releaseDate","dbo:Software","xsd:date","""0.771857464646164""","dbo:releaseDate","""""""1-gram"""""""
"lexicalEntry-2538","noun","song","song",,"""NounPPFrame""","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","""0.771857464646164""","dbo:releaseDate","""""""1-gram"""""""
"lexicalEntry-2541","noun","series","series",,"""NounPPFrame""","range","domain","1","dbo:releaseDate","dbo:Software","xsd:date","""0.732383658807016""","dbo:releaseDate","""""""1-gram"""""""
"lexicalEntry-2542","noun","series","series",,"""NounPPFrame""","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","""0.732383658807016""","dbo:releaseDate","""""""1-gram"""""""
"lexicalEntry-2543","noun","album","album",,"""NounPPFrame""","range","domain","1","dbo:releaseDate","dbo:Software","xsd:date","""0.728459674718938""","dbo:releaseDate","""""""1-gram"""""""
"lexicalEntry-2544","noun","album","album",,"""NounPPFrame""","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","""0.728459674718938""","dbo:releaseDate","""""""1-gram"""""""
"lexicalEntry-2549","noun","download","download",,"""NounPPFrame""","range","domain","1","dbo:releaseDate","dbo:Software","xsd:date","""0.707106781186548""","dbo:releaseDate","""""""1-gram"""""""
"lexicalEntry-2550","noun","download","download",,"""NounPPFrame""","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","""0.707106781186548""","dbo:releaseDate","""""""1-gram"""""""
"lexicalEntry-2551","noun","video","video",,"""NounPPFrame""","range","domain","1","dbo:releaseDate","dbo:Software","xsd:date","""0.706155444951952""","dbo:releaseDate","""""""1-gram"""""""
"lexicalEntry-2552","noun","video","video",,"""NounPPFrame""","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","""0.706155444951952""","dbo:releaseDate","""""""1-gram"""""""
"lexicalEntry-2553","noun","video game","video game",,"""NounPPFrame""","range","domain","1","dbo:releaseDate","dbo:Software","xsd:date","""0.698309772982075""","dbo:releaseDate","""""""2-gram"""""""
"lexicalEntry-2554","noun","video game","video game",,"""NounPPFrame""","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","""0.698309772982075""","dbo:releaseDate","""""""2-gram"""""""
