"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-2723","noun","highway","highway",,"""NounPPFrame""","range","domain","1","dbo:routeStart","dbo:Road","dbo:Road","""0.735116779100959""","dbo:routeStart","""""""1-gram"""""""
"lexicalEntry-2724","noun","highway","highway",,"""NounPPFrame""","domain","range","1","dbo:routeStart","dbo:Road","dbo:Road","""0.735116779100959""","dbo:routeStart","""""""1-gram"""""""
"lexicalEntry-2725","noun","state","state",,"""NounPPFrame""","range","domain","1","dbo:routeStart","dbo:Road","dbo:Road","""0.673056234287873""","dbo:routeStart","""""""1-gram"""""""
"lexicalEntry-2726","noun","state","state",,"""NounPPFrame""","domain","range","1","dbo:routeStart","dbo:Road","dbo:Road","""0.673056234287873""","dbo:routeStart","""""""1-gram"""""""
"lexicalEntry-2727","noun","route","route",,"""NounPPFrame""","range","domain","1","dbo:routeStart","dbo:Road","dbo:Road","""0.647968583818541""","dbo:routeStart","""""""1-gram"""""""
"lexicalEntry-2728","noun","route","route",,"""NounPPFrame""","domain","range","1","dbo:routeStart","dbo:Road","dbo:Road","""0.647968583818541""","dbo:routeStart","""""""1-gram"""""""
"lexicalEntry-2729","noun","line","line",,"""NounPPFrame""","range","domain","1","dbo:routeStart","dbo:Road","dbo:Road","""0.629866362781169""","dbo:routeStart","""""""1-gram"""""""
"lexicalEntry-2730","noun","line","line",,"""NounPPFrame""","domain","range","1","dbo:routeStart","dbo:Road","dbo:Road","""0.629866362781169""","dbo:routeStart","""""""1-gram"""""""
"lexicalEntry-2731","noun","highway in","highway in",,"""NounPPFrame""","range","domain","1","dbo:routeStart","dbo:Road","dbo:Road","""0.592893951240085""","dbo:routeStart","""""""2-gram"""""""
"lexicalEntry-2732","noun","highway in","highway in",,"""NounPPFrame""","domain","range","1","dbo:routeStart","dbo:Road","dbo:Road","""0.592893951240085""","dbo:routeStart","""""""2-gram"""""""
"lexicalEntry-2733","noun","state highway","state highway",,"""NounPPFrame""","range","domain","1","dbo:routeStart","dbo:Road","dbo:Road","""0.589617882946215""","dbo:routeStart","""""""2-gram"""""""
"lexicalEntry-2734","noun","state highway","state highway",,"""NounPPFrame""","domain","range","1","dbo:routeStart","dbo:Road","dbo:Road","""0.589617882946215""","dbo:routeStart","""""""2-gram"""""""
"lexicalEntry-2735","noun","railway","railway",,"""NounPPFrame""","range","domain","1","dbo:routeStart","dbo:Road","dbo:Road","""0.540486093784769""","dbo:routeStart","""""""1-gram"""""""
"lexicalEntry-2736","noun","railway","railway",,"""NounPPFrame""","domain","range","1","dbo:routeStart","dbo:Road","dbo:Road","""0.540486093784769""","dbo:routeStart","""""""1-gram"""""""
"lexicalEntry-2743","noun","runs","runs",,"""NounPPFrame""","range","domain","1","dbo:routeStart","dbo:Road","dbo:Road","""0.502824781786747""","dbo:routeStart","""""""1-gram"""""""
"lexicalEntry-2744","noun","runs","runs",,"""NounPPFrame""","domain","range","1","dbo:routeStart","dbo:Road","dbo:Road","""0.502824781786747""","dbo:routeStart","""""""1-gram"""""""
