"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-2746","noun","stadium","stadium",,"""NounPPFrame""","range","domain","1","dbo:seatingCapacity","dbo:Stadium","xsd:nonNegativeInteger","""0.727926552310406""","dbo:seatingCapacity","""""""1-gram"""""""
"lexicalEntry-2747","noun","stadium","stadium",,"""NounPPFrame""","domain","range","1","dbo:seatingCapacity","dbo:Stadium","xsd:nonNegativeInteger","""0.727926552310406""","dbo:seatingCapacity","""""""1-gram"""""""
"lexicalEntry-2748","noun","home","home",,"""NounPPFrame""","range","domain","1","dbo:seatingCapacity","dbo:Stadium","xsd:nonNegativeInteger","""0.716610831693582""","dbo:seatingCapacity","""""""1-gram"""""""
"lexicalEntry-2749","noun","home","home",,"""NounPPFrame""","domain","range","1","dbo:seatingCapacity","dbo:Stadium","xsd:nonNegativeInteger","""0.716610831693582""","dbo:seatingCapacity","""""""1-gram"""""""
"lexicalEntry-2752","noun","theatre","theatre",,"""NounPPFrame""","range","domain","1","dbo:seatingCapacity","dbo:Stadium","xsd:nonNegativeInteger","""0.664854680386433""","dbo:seatingCapacity","""""""1-gram"""""""
"lexicalEntry-2753","noun","theatre","theatre",,"""NounPPFrame""","domain","range","1","dbo:seatingCapacity","dbo:Stadium","xsd:nonNegativeInteger","""0.664854680386433""","dbo:seatingCapacity","""""""1-gram"""""""
"lexicalEntry-2758","noun","football","football",,"""NounPPFrame""","range","domain","1","dbo:seatingCapacity","dbo:Stadium","xsd:nonNegativeInteger","""0.624242056259497""","dbo:seatingCapacity","""""""1-gram"""""""
"lexicalEntry-2759","noun","football","football",,"""NounPPFrame""","domain","range","1","dbo:seatingCapacity","dbo:Stadium","xsd:nonNegativeInteger","""0.624242056259497""","dbo:seatingCapacity","""""""1-gram"""""""
"lexicalEntry-2764","noun","stadium in","stadium in",,"""NounPPFrame""","range","domain","1","dbo:seatingCapacity","dbo:Stadium","xsd:nonNegativeInteger","""0.615550414909594""","dbo:seatingCapacity","""""""2-gram"""""""
"lexicalEntry-2765","noun","stadium in","stadium in",,"""NounPPFrame""","domain","range","1","dbo:seatingCapacity","dbo:Stadium","xsd:nonNegativeInteger","""0.615550414909594""","dbo:seatingCapacity","""""""2-gram"""""""
"lexicalEntry-2766","noun","movie","movie",,"""NounPPFrame""","range","domain","1","dbo:seatingCapacity","dbo:Stadium","xsd:nonNegativeInteger","""0.612608827303015""","dbo:seatingCapacity","""""""1-gram"""""""
"lexicalEntry-2767","noun","movie","movie",,"""NounPPFrame""","domain","range","1","dbo:seatingCapacity","dbo:Stadium","xsd:nonNegativeInteger","""0.612608827303015""","dbo:seatingCapacity","""""""1-gram"""""""
