"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-2861","noun","film","film",,"""NounPPFrame""","range","domain","1","dbo:starring","dbo:Film","dbo:Person","""0.897205719943965""","dbo:starring","""""""1-gram"""""""
"lexicalEntry-2862","noun","film","film",,"""NounPPFrame""","domain","range","1","dbo:starring","dbo:Film","dbo:Person","""0.897205719943965""","dbo:starring","""""""1-gram"""""""
"lexicalEntry-2867","noun","film directed","film directed",,"""NounPPFrame""","range","domain","1","dbo:starring","dbo:Film","dbo:Person","""0.706798193580715""","dbo:starring","""""""2-gram"""""""
"lexicalEntry-2868","noun","film directed","film directed",,"""NounPPFrame""","domain","range","1","dbo:starring","dbo:Film","dbo:Person","""0.706798193580715""","dbo:starring","""""""2-gram"""""""
"lexicalEntry-2869","noun","film directed by","film directed by",,"""NounPPFrame""","range","domain","1","dbo:starring","dbo:Film","dbo:Person","""0.692030989402842""","dbo:starring","""""""3-gram"""""""
"lexicalEntry-2870","noun","film directed by","film directed by",,"""NounPPFrame""","domain","range","1","dbo:starring","dbo:Film","dbo:Person","""0.692030989402842""","dbo:starring","""""""3-gram"""""""
"lexicalEntry-2871","noun","the film","the film",,"""NounPPFrame""","range","domain","1","dbo:starring","dbo:Film","dbo:Person","""0.598650788674882""","dbo:starring","""""""2-gram"""""""
"lexicalEntry-2872","noun","the film","the film",,"""NounPPFrame""","domain","range","1","dbo:starring","dbo:Film","dbo:Person","""0.598650788674882""","dbo:starring","""""""2-gram"""""""
"lexicalEntry-2873","noun","radio","radio",,"""NounPPFrame""","range","domain","1","dbo:starring","dbo:Film","dbo:Person","""0.597217662325775""","dbo:starring","""""""1-gram"""""""
"lexicalEntry-2874","noun","radio","radio",,"""NounPPFrame""","domain","range","1","dbo:starring","dbo:Film","dbo:Person","""0.597217662325775""","dbo:starring","""""""1-gram"""""""
"lexicalEntry-2875","noun","series","series",,"""NounPPFrame""","range","domain","1","dbo:starring","dbo:Film","dbo:Person","""0.588418493770163""","dbo:starring","""""""1-gram"""""""
"lexicalEntry-2876","noun","series","series",,"""NounPPFrame""","domain","range","1","dbo:starring","dbo:Film","dbo:Person","""0.588418493770163""","dbo:starring","""""""1-gram"""""""
"lexicalEntry-2877","noun","television","television",,"""NounPPFrame""","range","domain","1","dbo:starring","dbo:Film","dbo:Person","""0.581976743151238""","dbo:starring","""""""1-gram"""""""
"lexicalEntry-2878","noun","television","television",,"""NounPPFrame""","domain","range","1","dbo:starring","dbo:Film","dbo:Person","""0.581976743151238""","dbo:starring","""""""1-gram"""""""
"lexicalEntry-2881","noun","american","american",,"""NounPPFrame""","range","domain","1","dbo:starring","dbo:Film","dbo:Person","""0.505460209278363""","dbo:starring","""""""1-gram"""""""
"lexicalEntry-2882","noun","american","american",,"""NounPPFrame""","domain","range","1","dbo:starring","dbo:Film","dbo:Person","""0.505460209278363""","dbo:starring","""""""1-gram"""""""
