"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-2953","noun","airline","airline",,"""NounPPFrame""","range","domain","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.573471578503217""","dbo:targetAirport","""""""1-gram"""""""
"lexicalEntry-2954","noun","airline","airline",,"""NounPPFrame""","domain","range","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.573471578503217""","dbo:targetAirport","""""""1-gram"""""""
"lexicalEntry-2955","noun","airport","airport",,"""NounPPFrame""","range","domain","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.459556426525022""","dbo:targetAirport","""""""1-gram"""""""
"lexicalEntry-2956","noun","airport","airport",,"""NounPPFrame""","domain","range","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.459556426525022""","dbo:targetAirport","""""""1-gram"""""""
"lexicalEntry-2959","noun","international","international",,"""NounPPFrame""","range","domain","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.359995665167054""","dbo:targetAirport","""""""1-gram"""""""
"lexicalEntry-2960","noun","international","international",,"""NounPPFrame""","domain","range","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.359995665167054""","dbo:targetAirport","""""""1-gram"""""""
"lexicalEntry-2961","noun","airline based","airline based",,"""NounPPFrame""","range","domain","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.350492417498133""","dbo:targetAirport","""""""2-gram"""""""
"lexicalEntry-2962","noun","airline based","airline based",,"""NounPPFrame""","domain","range","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.350492417498133""","dbo:targetAirport","""""""2-gram"""""""
"lexicalEntry-2963","noun","airlines","airlines",,"""NounPPFrame""","range","domain","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.34741209174473""","dbo:targetAirport","""""""1-gram"""""""
"lexicalEntry-2964","noun","airlines","airlines",,"""NounPPFrame""","domain","range","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.34741209174473""","dbo:targetAirport","""""""1-gram"""""""
"lexicalEntry-2969","noun","international airport","international airport",,"""NounPPFrame""","range","domain","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.33392932746722""","dbo:targetAirport","""""""2-gram"""""""
"lexicalEntry-2970","noun","international airport","international airport",,"""NounPPFrame""","domain","range","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.33392932746722""","dbo:targetAirport","""""""2-gram"""""""
"lexicalEntry-2971","noun","charter","charter",,"""NounPPFrame""","range","domain","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.320129809609406""","dbo:targetAirport","""""""1-gram"""""""
"lexicalEntry-2972","noun","charter","charter",,"""NounPPFrame""","domain","range","1","dbo:targetAirport","dbo:Airline","dbo:Airport","""0.320129809609406""","dbo:targetAirport","""""""1-gram"""""""
