"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-3068","noun","grape","grape",,"""NounPPFrame""","range","domain","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.730552019767088""","dbo:wineRegion","""""""1-gram"""""""
"lexicalEntry-3069","noun","grape","grape",,"""NounPPFrame""","domain","range","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.730552019767088""","dbo:wineRegion","""""""1-gram"""""""
"lexicalEntry-3070","noun","wine","wine",,"""NounPPFrame""","range","domain","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.699725585002942""","dbo:wineRegion","""""""1-gram"""""""
"lexicalEntry-3071","noun","wine","wine",,"""NounPPFrame""","domain","range","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.699725585002942""","dbo:wineRegion","""""""1-gram"""""""
"lexicalEntry-3072","noun","variety","variety",,"""NounPPFrame""","range","domain","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.65555505941725""","dbo:wineRegion","""""""1-gram"""""""
"lexicalEntry-3073","noun","variety","variety",,"""NounPPFrame""","domain","range","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.65555505941725""","dbo:wineRegion","""""""1-gram"""""""
"lexicalEntry-3074","noun","wine grape","wine grape",,"""NounPPFrame""","range","domain","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.610005217733409""","dbo:wineRegion","""""""2-gram"""""""
"lexicalEntry-3075","noun","wine grape","wine grape",,"""NounPPFrame""","domain","range","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.610005217733409""","dbo:wineRegion","""""""2-gram"""""""
"lexicalEntry-3080","noun","grape variety","grape variety",,"""NounPPFrame""","range","domain","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.534430475478557""","dbo:wineRegion","""""""2-gram"""""""
"lexicalEntry-3081","noun","grape variety","grape variety",,"""NounPPFrame""","domain","range","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.534430475478557""","dbo:wineRegion","""""""2-gram"""""""
"lexicalEntry-3084","noun","wines","wines",,"""NounPPFrame""","range","domain","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.507370721497942""","dbo:wineRegion","""""""1-gram"""""""
"lexicalEntry-3085","noun","wines","wines",,"""NounPPFrame""","domain","range","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.507370721497942""","dbo:wineRegion","""""""1-gram"""""""
"lexicalEntry-3086","noun","region","region",,"""NounPPFrame""","range","domain","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.493748980199045""","dbo:wineRegion","""""""1-gram"""""""
"lexicalEntry-3087","noun","region","region",,"""NounPPFrame""","domain","range","1","dbo:wineRegion","dbo:Grape","dbo:Place","""0.493748980199045""","dbo:wineRegion","""""""1-gram"""""""
