"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-3255","noun","race","race",,"""NounPPFrame""","range","domain","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.948600719907246""","dbp:date","""""""1-gram"""""""
"lexicalEntry-3256","noun","race","race",,"""NounPPFrame""","domain","range","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.948600719907246""","dbp:date","""""""1-gram"""""""
"lexicalEntry-3259","noun","cricketer","cricketer",,"""NounPPFrame""","range","domain","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.9417249664802""","dbp:date","""""""1-gram"""""""
"lexicalEntry-3260","noun","cricketer","cricketer",,"""NounPPFrame""","domain","range","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.9417249664802""","dbp:date","""""""1-gram"""""""
"lexicalEntry-3263","noun","professional wrestling","professional wrestling",,"""NounPPFrame""","range","domain","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.931810932034405""","dbp:date","""""""2-gram"""""""
"lexicalEntry-3264","noun","professional wrestling","professional wrestling",,"""NounPPFrame""","domain","range","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.931810932034405""","dbp:date","""""""2-gram"""""""
"lexicalEntry-3265","noun","event","event",,"""NounPPFrame""","range","domain","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.925989276585251""","dbp:date","""""""1-gram"""""""
"lexicalEntry-3266","noun","event","event",,"""NounPPFrame""","domain","range","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.925989276585251""","dbp:date","""""""1-gram"""""""
"lexicalEntry-3267","noun","martial","martial",,"""NounPPFrame""","range","domain","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.919621185597635""","dbp:date","""""""1-gram"""""""
"lexicalEntry-3268","noun","martial","martial",,"""NounPPFrame""","domain","range","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.919621185597635""","dbp:date","""""""1-gram"""""""
"lexicalEntry-3269","noun","grand","grand",,"""NounPPFrame""","range","domain","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.919492517027582""","dbp:date","""""""1-gram"""""""
"lexicalEntry-3270","noun","grand","grand",,"""NounPPFrame""","domain","range","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.919492517027582""","dbp:date","""""""1-gram"""""""
"lexicalEntry-3271","noun","grand prix","grand prix",,"""NounPPFrame""","range","domain","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.919108960980715""","dbp:date","""""""2-gram"""""""
"lexicalEntry-3272","noun","grand prix","grand prix",,"""NounPPFrame""","domain","range","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.919108960980715""","dbp:date","""""""2-gram"""""""
"lexicalEntry-3273","noun","martial arts","martial arts",,"""NounPPFrame""","range","domain","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.91749489099395""","dbp:date","""""""2-gram"""""""
"lexicalEntry-3274","noun","martial arts","martial arts",,"""NounPPFrame""","domain","range","1","dbp:date","dbo:MilitaryConflict","xsd:date","""0.91749489099395""","dbp:date","""""""2-gram"""""""
