"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-4064","noun","soap","soap",,"""NounPPFrame""","range","domain","1","dbp:father","dbo:Royalty","dbo:Person","""0.717417914311591""","dbp:father","""""""1-gram"""""""
"lexicalEntry-4065","noun","soap","soap",,"""NounPPFrame""","domain","range","1","dbp:father","dbo:Royalty","dbo:Person","""0.717417914311591""","dbp:father","""""""1-gram"""""""
"lexicalEntry-4066","noun","soap opera","soap opera",,"""NounPPFrame""","range","domain","1","dbp:father","dbo:Royalty","dbo:Person","""0.717177996332221""","dbp:father","""""""2-gram"""""""
"lexicalEntry-4067","noun","soap opera","soap opera",,"""NounPPFrame""","domain","range","1","dbp:father","dbo:Royalty","dbo:Person","""0.717177996332221""","dbp:father","""""""2-gram"""""""
"lexicalEntry-4068","noun","opera","opera",,"""NounPPFrame""","range","domain","1","dbp:father","dbo:Royalty","dbo:Person","""0.716850592527744""","dbp:father","""""""1-gram"""""""
"lexicalEntry-4069","noun","opera","opera",,"""NounPPFrame""","domain","range","1","dbp:father","dbo:Royalty","dbo:Person","""0.716850592527744""","dbp:father","""""""1-gram"""""""
"lexicalEntry-4070","noun","character","character",,"""NounPPFrame""","range","domain","1","dbp:father","dbo:Royalty","dbo:Person","""0.632726659789449""","dbp:father","""""""1-gram"""""""
"lexicalEntry-4071","noun","character","character",,"""NounPPFrame""","domain","range","1","dbp:father","dbo:Royalty","dbo:Person","""0.632726659789449""","dbp:father","""""""1-gram"""""""
"lexicalEntry-4078","noun","fictional character","fictional character",,"""NounPPFrame""","range","domain","1","dbp:father","dbo:Royalty","dbo:Person","""0.61377601790739""","dbp:father","""""""2-gram"""""""
"lexicalEntry-4079","noun","fictional character","fictional character",,"""NounPPFrame""","domain","range","1","dbp:father","dbo:Royalty","dbo:Person","""0.61377601790739""","dbp:father","""""""2-gram"""""""
