"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-4202","noun","big hero","big hero",,"""NounPPFrame""","range","domain","1","dbp:nickname","dbo:Person","xsd:String","""1.0""","dbp:nickname","""""""2-gram"""""""
"lexicalEntry-4203","noun","big hero","big hero",,"""NounPPFrame""","domain","range","1","dbp:nickname","dbo:Person","xsd:String","""1.0""","dbp:nickname","""""""2-gram"""""""
"lexicalEntry-4204","noun","university","university",,"""NounPPFrame""","range","domain","1","dbp:nickname","dbo:Person","xsd:String","""0.878979903912527""","dbp:nickname","""""""1-gram"""""""
"lexicalEntry-4205","noun","university","university",,"""NounPPFrame""","domain","range","1","dbp:nickname","dbo:Person","xsd:String","""0.878979903912527""","dbp:nickname","""""""1-gram"""""""
"lexicalEntry-4208","noun","player","player",,"""NounPPFrame""","range","domain","1","dbp:nickname","dbo:Person","xsd:String","""0.865533762868412""","dbp:nickname","""""""1-gram"""""""
"lexicalEntry-4209","noun","player","player",,"""NounPPFrame""","domain","range","1","dbp:nickname","dbo:Person","xsd:String","""0.865533762868412""","dbp:nickname","""""""1-gram"""""""
"lexicalEntry-4210","noun","darts","darts",,"""NounPPFrame""","range","domain","1","dbp:nickname","dbo:Person","xsd:String","""0.864548527177136""","dbp:nickname","""""""1-gram"""""""
"lexicalEntry-4211","noun","darts","darts",,"""NounPPFrame""","domain","range","1","dbp:nickname","dbo:Person","xsd:String","""0.864548527177136""","dbp:nickname","""""""1-gram"""""""
"lexicalEntry-4212","noun","darts player","darts player",,"""NounPPFrame""","range","domain","1","dbp:nickname","dbo:Person","xsd:String","""0.863398102275898""","dbp:nickname","""""""2-gram"""""""
"lexicalEntry-4213","noun","darts player","darts player",,"""NounPPFrame""","domain","range","1","dbp:nickname","dbo:Person","xsd:String","""0.863398102275898""","dbp:nickname","""""""2-gram"""""""
"lexicalEntry-4214","noun","conference","conference",,"""NounPPFrame""","range","domain","1","dbp:nickname","dbo:Person","xsd:String","""0.857665583105784""","dbp:nickname","""""""1-gram"""""""
"lexicalEntry-4215","noun","conference","conference",,"""NounPPFrame""","domain","range","1","dbp:nickname","dbo:Person","xsd:String","""0.857665583105784""","dbp:nickname","""""""1-gram"""""""
"lexicalEntry-4216","noun","soccer team","soccer team",,"""NounPPFrame""","range","domain","1","dbp:nickname","dbo:Person","xsd:String","""0.844283328758086""","dbp:nickname","""""""2-gram"""""""
"lexicalEntry-4217","noun","soccer team","soccer team",,"""NounPPFrame""","domain","range","1","dbp:nickname","dbo:Person","xsd:String","""0.844283328758086""","dbp:nickname","""""""2-gram"""""""
"lexicalEntry-4218","noun","division i","division i",,"""NounPPFrame""","range","domain","1","dbp:nickname","dbo:Person","xsd:String","""0.84174578812505""","dbp:nickname","""""""2-gram"""""""
"lexicalEntry-4219","noun","division i","division i",,"""NounPPFrame""","domain","range","1","dbp:nickname","dbo:Person","xsd:String","""0.84174578812505""","dbp:nickname","""""""2-gram"""""""
"lexicalEntry-4220","noun","soccer","soccer",,"""NounPPFrame""","range","domain","1","dbp:nickname","dbo:Person","xsd:String","""0.830038289419688""","dbp:nickname","""""""1-gram"""""""
"lexicalEntry-4221","noun","soccer","soccer",,"""NounPPFrame""","domain","range","1","dbp:nickname","dbo:Person","xsd:String","""0.830038289419688""","dbp:nickname","""""""1-gram"""""""
"lexicalEntry-4222","noun","teams","teams",,"""NounPPFrame""","range","domain","1","dbp:nickname","dbo:Person","xsd:String","""0.799427222567574""","dbp:nickname","""""""1-gram"""""""
"lexicalEntry-4223","noun","teams","teams",,"""NounPPFrame""","domain","range","1","dbp:nickname","dbo:Person","xsd:String","""0.799427222567574""","dbp:nickname","""""""1-gram"""""""
