"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-4248","noun","character","character",,"""NounPPFrame""","range","domain","1","dbp:portrayer","dbo:FictionalCharacter","dbo:Person","""0.930498880915435""","dbp:portrayer","""""""1-gram"""""""
"lexicalEntry-4249","noun","character","character",,"""NounPPFrame""","domain","range","1","dbp:portrayer","dbo:FictionalCharacter","dbo:Person","""0.930498880915435""","dbp:portrayer","""""""1-gram"""""""
"lexicalEntry-4250","noun","soap","soap",,"""NounPPFrame""","range","domain","1","dbp:portrayer","dbo:FictionalCharacter","dbo:Person","""0.926186996701349""","dbp:portrayer","""""""1-gram"""""""
"lexicalEntry-4251","noun","soap","soap",,"""NounPPFrame""","domain","range","1","dbp:portrayer","dbo:FictionalCharacter","dbo:Person","""0.926186996701349""","dbp:portrayer","""""""1-gram"""""""
"lexicalEntry-4252","noun","opera","opera",,"""NounPPFrame""","range","domain","1","dbp:portrayer","dbo:FictionalCharacter","dbo:Person","""0.922269574709377""","dbp:portrayer","""""""1-gram"""""""
"lexicalEntry-4253","noun","opera","opera",,"""NounPPFrame""","domain","range","1","dbp:portrayer","dbo:FictionalCharacter","dbo:Person","""0.922269574709377""","dbp:portrayer","""""""1-gram"""""""
"lexicalEntry-4254","noun","soap opera","soap opera",,"""NounPPFrame""","range","domain","1","dbp:portrayer","dbo:FictionalCharacter","dbo:Person","""0.92183327923133""","dbp:portrayer","""""""2-gram"""""""
"lexicalEntry-4255","noun","soap opera","soap opera",,"""NounPPFrame""","domain","range","1","dbp:portrayer","dbo:FictionalCharacter","dbo:Person","""0.92183327923133""","dbp:portrayer","""""""2-gram"""""""
"lexicalEntry-4260","noun","fictional character","fictional character",,"""NounPPFrame""","range","domain","1","dbp:portrayer","dbo:FictionalCharacter","dbo:Person","""0.912780380057445""","dbp:portrayer","""""""2-gram"""""""
"lexicalEntry-4261","noun","fictional character","fictional character",,"""NounPPFrame""","domain","range","1","dbp:portrayer","dbo:FictionalCharacter","dbo:Person","""0.912780380057445""","dbp:portrayer","""""""2-gram"""""""
"lexicalEntry-4268","noun","character from","character from",,"""NounPPFrame""","range","domain","1","dbp:portrayer","dbo:FictionalCharacter","dbo:Person","""0.796173900544404""","dbp:portrayer","""""""2-gram"""""""
"lexicalEntry-4269","noun","character from","character from",,"""NounPPFrame""","domain","range","1","dbp:portrayer","dbo:FictionalCharacter","dbo:Person","""0.796173900544404""","dbp:portrayer","""""""2-gram"""""""
