LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domain_article,domain_written_singular,domain_written_plural,rangeArticle,range_written_singular,range_written_plural,sparql_1,question_2,sparql_2,question_3,sparql_3,question_4,sparql_4,question_5,sparql_5,comment
boardgame_by_1,noun,neuter,Brettspiel,Brettspiele,Brettspiel,Brettspiel,Brettspiels,von,NounPPFrame,domain,range,1,dbo:publisher,dbo:Work,dbo:Agent,neuter,Land,Länder,feminine,Stadt,Stadt,,,,,,,,,,
Buergermeister_von_1,noun,masculine,Buergermeister,-,Buergermeister,Buergermeister,Buergermeister,von,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person,neuter,Land,Länder,feminine,Stadt,Stadt,,,,,,,,,,
Buergermeister_von_2,noun,masculine,Buergermeister,-,Buergermeister,Buergermeister,Buergermeister,von,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,dbo:Person,neuter,Land,Länder,feminine,Stadt,Stadt,,,,,,,,,,
Amtssprache_von,noun,feminine,Amtssprache,Amtssprachen,Amtssprache,Amtssprache,Amtssprache,von,NounPPFrame,range,domain,1,dbo:officialLanguage,dbo:Country,dbo:Language,,,,,,,,,,,,,,,,
Enkel_von,noun,masculine,Enkel,Enkel,Enkel,Enkel,Enkels,von,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,,,,,,,,,,,,,,,,
tocher_von,noun,feminine,Tochter,Töchter,Tochter,Tochter,Tochter,von,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,,,,,,,,,,,,,,,,
Gouverneur_von,noun,masculine,Gouverneur,Gouverneur,Gouverneur,Gouverneur,Gouverneur,von,NounPPFrame,range,domain,1,dbo:governor,dbo:Place,dbo:Person,,,,,,,,,,,,,,,,
praesident_von_1,noun,masculine,praesident,praesidenten,praesident,praesident,praesident,von,NounPPFrame,range,domain,1,dbo:leader,dbo:Legislature,dbo:Person,,,,,,,,,,,,,,,,
nettogewinn_von,noun,masculine,Nettogewinn,Nettogewinn,Nettogewinn,Nettogewinn,Nettogewinns,von,NounPPFrame,range,domain,1,dbo:netIncome,dbo:Company,xsd:string,,,,,,,,,,,,,,,,
Musik_von_1,noun,feminine,Musik,Musiken,Musik,Musik,Musik,von,NounPPFrame,domain,range,1,dbo:musicBy,dbo:Musical,dbo:Person,,,,,,,,,,,,,,,,
Autor_von,noun,feminine,Autor,Autorev,Autor,Autor,Autors,von,NounPPFrame,range,domain,1,dbo:author,dbo:Book,dbo:Person,,,,,,,,,,,,,,,,
Premierminister_von,noun,masculine,Premierminister,Premierminister,Premierminister,Premierminister,Premierministers,von,NounPPFrame,range,domain,1,dbo:leader,dbo:Legislature,dbo:Person,,,,,,,,,,,,,,,,
Manager_von,noun,masculine,Manager,Manager,Manager,Manager,Managers,von,NounPPFrame,range,domain,1,dbo:manager,dbo:Agent,dbo:SoccerManager,,,,,,,,,,,,,,,,
Geburtsname_von,noun,feminine,Geburtsname,Geburtsnamen,Geburtsnamen,Geburtsnamen,Geburtsnamens,von,NounPPFrame,range,domain,1,dbp:birthName,dbo:Person,xsd:string,,,,,,,,,,,,,,,,
Koenige_von,noun,masculine,Koenig,Koenige,Koenig,Koenig,Koenigs,von,NounPPFrame,range,domain,1,dbp:title,dbo:Agent,dbo:City,,,,,,,,,,,,,,,,
Alma_mater_von,noun,feminine,Alma mater,Almae matrum,Alma mater,Alma mater,Almae matres,von,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Place,xsd:double,,,,,,,,,,,,,,,,
Geburtsort_von,noun,feminine,Geburtsort,Geburtsorte,Geburtsort,Geburtsort,Geburtsorts,von,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Country,,,,,,,,,,,,,,,,
Minister_von,noun,masculine,Minister,Minister,Minister,Minister,Ministers,von,NounPPFrame,range,domain,1,dbo:leader,dbo:Organisation,dbo:Person,,,,,,,,,,,,,,,,
Trainer_von,noun,masculine,Trainer,Trainer,Trainer,Trainer,Trainers,von,NounPPFrame,range,domain,1,dbo:coach,dbo:IceHockeyLeague,dbo:CollegeCoach,,,,,,,,,,,,,,,,
Entwickler_von,noun,masculine,Entwickler,Entwickler,Entwickler,Entwickler,Entwicklers,von,NounPPFrame,range,domain,1,dbo:developer,dbo: Software,dbo:University,,,,,,,,,,,,,,,,
Population_von,noun,feminine,Population,Populationen,Population,Population,Population,von,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Place,xsd:double,,,,,,,,,,,,,,,,
Gruendung_Datum_von,noun,neuter,Gruendungsdatum,Gruendungsdaten,Gruendungsdatum,Gruendungsdatum,Gruendungsdatums,von,NounPPFrame,range,domain,1,dbo:foundingDate,dbo:Organisation,xsd:date,,,,,,,,,,,,,,,,
Folge_von,noun,feminine,Folge,Folgen,Folge,Folge,Folge,von,NounPPFrame,range,domain,1,dbo:completionDate,dbo:TelevisionShow,xsd:date,,,,,,,,,,,,,,,,
Frau_von,noun,feminine,Frau,Frauen,Frau,Frau,Frau,von,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,,,,,,,,,,,,,,,,
gesamt_Population_von,noun,feminine,gesamt Population,gesamt Populationen,gesamt Population,gesamt Population,gesamt Population,von,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Place,xsd:double,,,,,,,,,,,,,,,,
Geburt_Name_von,noun,feminine,Geburt Name,Geburt Namen,Geburt Name,Geburt Name,Geburt Names,von,NounPPFrame,range,domain,1,dbo:birthName,dbo:Person,xsd:string,,,,,,,,,,,,,,,,
Arbeit_von,noun,feminine,Arbeit,Arbeiten,Arbeit,Arbeit,Arbeit,von,NounPPFrame,range,domain,1,dbo:releaseDate,dbo:Book,xsd:date,,,,,,,,,,,,,,,,
Tod_von,noun,masculine,Tod,Tode,Tod,Tod,Todes,von,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date,,,,,,,,,,,,,,,,
Ursprung_von,noun,masculine,Ursprung,Urspruenge,Ursprung,Ursprung,Ursprung,von,NounPPFrame,range,domain,1,dbo:owner,dbo:Company,dbo:Person,,,,,,,,,,,,,,,,
